MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,9,12,172,4,0,0,0,0,1,11,195,187,63,83,316,336,125,41,648,5396,433,138,2086,377,450,0,41,39,63,143,0,0,69,0,2,875,8627,84,526,1145,311,108,20,15,139,157,5626,141,2794,162,626,390,381,559,63,24,24760,802,358,179,27,248,434,245,1593,269,281,462,80,329,1650,481,415,7512,501,1206,850,18719,1263,349,679,301,341,1186,65029,1575,1342,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,323,342,541,289,384,1313,773,755,684,1101,1508,897,1563,1513,1955,1193,2478,2016,2634,2319,2718,1916,2023,3890,2715,2597,3750,3257,3239,3393,3955,3152,6012,2491,3987,2416,3257,4402,4757,1101,3834,3443,4800,3716,4116,1913,4261,2536,3650,1470,6830,3582,5368,3872,6323,2867,2592,4940,5412,2974,5672,4593,6985,4846,7630,3695,8014,5300,8057,5364,8845,7055,7881,3850,8736,4109,6974,2681,8907,8184,7072,2850,8179,5068,7238,3594,8059,5809,9386,4305,8965,8722,10308,5289,9217,7438,10055,5193,10955,12057,10433,7135,13737,13929,14428,8342,17090,16258,18730,8615,20046,17758,16915,4899,17834,19827,20666,9118,20965,23322,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,384,1313,773,755,,,,,1563,1513,1955,1193,2478,2016,2634,2319,2718,1916,2023,3890,2715,2597,3750,3257,3239,3393,3955,3152,6012,2491,3987,2416,3257,4402,4757,1101,3834,3443,4800,,4116,1913,4261,,3650,1470,6830,,5368,3872,6323,,,,,2987.9679,5700.502,4621.4989,7013.5018,4873.75,7663.6722,3751.2137,8086.9441,5387.3803,8130.8259,5440.3782,8921.2628,6923.4345,7957.6661,3936.1757,8822.8072,4205.9569,7070.5655,2793.38,9049.3746,8302.5081,7195.9722,2970.9944,8340.3986,5230.7315,7447.6298,3844.9014,8300.3355,6097.9928,9748.7478,4712.0191,9435.9577,9280.3524,10861.491,4809.2535,9810.6794,7996.3011,10636.8781,5737.8474,11518.6886,12657.8872,10969.1726,7675.8907,14251.0332,14501.5355,14935.5029,8823.5059,17657.6654,16727.017,19268.501,9052.5583,20462.7501,18163.2834,17321.9164,5294.7053,18234.3133,20218.4362,21094.9245,9867.447,21621.6843,23888.871,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556,1506,1948,1186,2471,2009,2627,2312,2711,930,2023,3890,2715,2597,3750,3257,3239,3393,3955,3152,6012,,3987,2416,3257,,4757,1101,3834,3443,4800,3716,4116,1913,4261,2536,3650,1470,6830,3582,5368,3872,6323,2867,4567,4961,5411,6725,5922,4591,6985,4788,12351,2695,10253,5300,8057,5364,8845,7055,7881,6082,8736,5414,7274,9643,8607,8184,8571,7648,12284,8327,10499,9570,9806,13108,30748,13501,7999,10589,9383,8950,-3039,6757,10055,2193,10955,11057,7933,7117,10737,13929,14428,5092,16590,16258,13904,8615,15849,17758,15915,4149,17834,18827,44931,8485,11918,9312,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,0.0325,0.0342,0.054,0.0284,0.0375,0.1286,0.0756,0.0732,0.071,0.1151,0.1578,0.0933,0.1621,0.1562,0.2009,0.1211,0.2499,0.2017,0.2605,0.2274,0.266,0.1856,0.1942,0.374,0.2562,0.2436,0.3514,0.3026,0.3,0.3145,0.3652,0.291,0.2799,0.1164,0.3721,0.2281,0.3013,0.4072,0.4411,0.1064,0.3526,0.3165,0.4422,0.3457,0.3848,0.1812,0.4136,0.2488,0.3676,0.1499,0.7023,0.3768,0.5723,0.4136,0.6794,0.3095,0.2853,0.5549,0.6087,0.3341,0.6363,0.5186,0.7967,0.5562,0.8858,0.4349,0.9518,0.6288,0.9601,0.6384,1.0529,0.8411,0.9387,0.4587,1.0445,0.4924,0.8363,0.322,1.0752,0.9925,0.8573,0.3464,1.0015,0.6287,0.9052,0.4513,1.0208,0.7408,1.205,0.5551,1.1605,1.1305,1.3373,0.686,1.1973,0.9681,1.3104,0.6751,1.4279,1.575,1.3666,0.9362,1.807,1.8376,1.907,1.1042,2.2669,2.16,2.493,1.1479,2.6753,2.376,2.2683,0.6575,2.3967,2.6671,2.7818,1.2269,2.8213,3.1376,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,37.8799,36.6911,22.0625,23.856,23.8427,23.6567,30.8436,27.4807,36.1282,31.3024,28.3677,36.5242,42.3076,37.7878,44.8186,53.78,47.9993,47.3867,62.1381,60.8472,39.2244,29.8591,20.3062,22.3173,31.6339,21.3624,26.1135,23.5163,21.5234,17.4875,24.5602,22.8521,25.7312,27.3136,20.9146,18.0963,22.7393,21.15,21.962,19.8485,17.0489,17.2779,19.316,20.5325,18.9687,22.5822,25.3075,18.9769,18.4579,16.3551,17.2397,13.8977,13.9307,15.8132,10.6284,10.4471,13.3312,12.0525,14.5298,12.8128,9.1749,8.8816,10.4391,8.976,8.9618,8.365,8.1659,9.8334,8.7589,8.5739,8.1152,8.7132,11.7731,11.7519,13.8803,15.0372,12.9262,14.2778,14.1989,12.714,15.5794,15.3587,18.5759,18.3735,16.4111,16.8527,17.645,17.9875,17.0147,17.8057,19.8269,20.976,23.5417,27.4805,24.4689,26.9172,26.8536,27.5594,29.7219,27.7417,34.2177,32.4193,33.4177,33.1342,36.4213,35.1345,41.687,36.3737,29.5472,27.5051,30.0636,37.4487,42.6228,37.1336,41.4486,44.3002,44.8404,43.17
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.2304,0.7102,1.3767,0.8601,1.2181,1.3679,1.3049,1.246,0.9732,1.5556,0.8947,0.9322,1.0947,1.5132,1.3222,1.2076,1.6523,1.395,1.2342,1.193,1.6237,1.3913,1.002,2.4365,1.6103,1.6333,1.2752,1.6437,1.5528,1.0123,2.5339,1.4687,1.5722,1.0567,1.5354,1.0847,1.4001,1.1857,1.304,0.8818,0.9514,1.7235,1.3418,1.0934,1.6377,55.0615,2.6415,1.5615,1.5051,2.2518,3.024,1.4836,1.9463,1.8132,1.3099,2.9529,3.7795,0.6164,1.585,1.045,1.952,1.0746,1.3782,0.6107,1.5328,1.1602,1.1676,0.7776,1.4801,1.4504,1.3705,0.9703,1.6139,0.9507,0.7706,1.3852,2.0302,1.2614,1.7087,0.7459,1.8455,1.2404,1.5146,0.631,1.6575,1.0116,1.4801,0.885,1.8782,,1.8997,0.7496,1.5964,1.1889,1.5646,0.6729,1.7843,2.0629,1.8401,0.7402,1.9198,,1.6954,0.9461,2.4081,1.6193,2.0379,1.0041,1.9431,1.3639,1.8917,,1.6367,1.2868,1.5477,1.057,1.5348,1.2215,1.2941,0.9168,1.628,1.6669,1.3917,0.8094,1.4349,1.3799,1.1968,0.7716,1.5176,1.4713,1.3214,0.6802,1.3356,1.4327,1.372,0.862,1.4548,1.6879,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,310.882,336.972,369.4,460.5,486.9,526.632,580.5,681.9,680.9,815.425,818,938,958,1039,983,1129,1244,1293,1247,1482,1587,1621,2016,2195,2205,2255,2295,2680,3208,3175,3334,3792,3984,4152,4193,5195,4595,5764,5384,6112,5656,5804,5766,6550,6403,6577,6126,7741,7245,7253,7746,8541,7835,8065,8215,10153,9175,9292,9189,10818,9620,10161,9741,11837,10900,11804,10811,12542,14398,13371,13762,16367,14454,15837,15061,16629,13648,13099,12920,19022,14503,16039,16195,19953,16428,17367,17372,20885,17407,18059,16008,21456,20489,19896,18529,24519,20403,23382,23201,26470,21729,22180,20910,25253,21517,23474,21928,25826,23212,25605,24538,28918,26819,30085,29084,32471,30571,33717,33055,36906,35021,38033,37154,43076,41706,46152,45317,51728,49360,51865,50122,52747,52857,56189,56517,62020,61858,64727,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15061,16629,13648,13099,12920,19022,14503,16039,16195,19953,16428,17367,17372,20885,17407,18059,16008,21456,20489,19896,18529,24519,20403,23382,23201,26470,21729,22180,20910,25253,21517,23474,21928,25826,23212,25605,24538,28918,26819,30085,29084,32471,30571,33717,33055,36906,35021,38033,37154,43076,41706,46152,45317,51728,49360,51865,50122,52747,52857,56189,56517,62020,61858,64727,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,66.096,69.995,76,93.6,95.5,97.489,104.5,115.1,110.1,136.724,135,157,161,180,159,185,208,211,186,222,235,234,322,330,295,241,250,296,297,242,534,613,640,673,649,788,708,669,712,756,752,782,825,864,899,867,884,1544,1395,1368,1344,2137,1274,1304,1480,2344,1411,1481,1469,1922,1399,1410,1253,2239,2028,2130,1696,3620,2140,3237,2675,3543,2514,2866,2848,3907,2814,2586,2842,3628,2755,3170,3139,4833,3897,3708,3777,5638,3952,4163,4168,5692,4787,5602,5145,8284,5978,7595,8273,10136,7161,7468,7207,9872,7722,7979,7844,9901,8060,8456,8278,11064,9269,9742,9905,12423,10170,10412,10406,12358,10975,12339,11002,14194,13045,13991,13646,16960,15615,16429,15452,17488,16128,16795,16302,19623,18505,19684,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848,3907,2814,2586,2842,3628,2755,3170,3139,4833,3897,3708,3777,5638,3952,4163,4168,5692,4787,5602,5145,8284,5978,7595,8273,10136,7161,7468,7207,9872,7722,7979,7844,9901,8060,8456,8278,11064,9269,9742,9905,12423,10170,10412,10406,12358,10975,12339,11002,14194,13045,13991,13646,16960,15615,16429,15452,17488,16128,16795,16302,19623,18505,19684,
Gross Profit,GROSS_PROFIT,244.786,266.977,293.4,366.9,391.4,429.143,476,566.8,570.8,678.701,683,781,797,859,824,944,1036,1082,1061,1260,1352,1387,1694,1865,1910,2014,2045,2384,2911,2933,2800,3179,3344,3479,3544,4407,3887,5095,4672,5356,4904,5022,4941,5686,5504,5710,5242,6197,5850,5885,6402,6404,6561,6761,6735,7809,7764,7811,7720,8896,8221,8751,8488,9598,8872,9674,9115,8922,12258,10134,11087,12824,11940,12971,12213,12722,10834,10513,10078,15394,11748,12869,13056,15120,12531,13659,13595,15247,13455,13896,11840,15764,15702,14294,13384,16235,14425,15787,14928,16334,14568,14712,13703,15381,13795,15495,14084,15925,15152,17149,16260,17854,17550,20343,19179,20048,20401,23305,22649,24548,24046,25694,26152,28882,28661,32161,31671,34768,33745,35436,34670,35259,36729,39394,40215,42397,43353,45043,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,138.406,156.489,170.4,207.6,217.9,235.101,273.1,320.7,319.8,382.722,394,455,459,486,481,529,556,594,624,740,803,855,986,1079,1136,1204,1143,1303,1343,1613,1444,1566,1477,1605,1462,1693,1658,2192,1905,2444,2208,2485,2164,2492,2506,2959,2345,2911,2552,4655,3374,4171,3817,5221,3587,6334,6486,4678,4226,4147,4892,5762,4442,4941,4984,5793,4641,5450,5669,6145,5169,6343,7531,7292,6214,6783,6396,6526,5596,6881,6575,6939,5940,6955,6822,7488,6392,7253,7081,13704,6532,7993,8090,8221,7050,8266,7451,9305,9084,8558,7974,16765,7387,7892,7518,9499,7369,8020,8429,9467,8552,9175,9258,9964,9224,9790,10060,10900,9963,10657,11071,12287,10276,10985,11613,13066,11433,12521,13381,14902,13152,14860,14377,15140,13320,15365,15772,17118,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,,,,1208,,1437,,,2312,1486,,,2656,,,,3363,,,,2710,3384,,2927,3350,3367,3932,,,,4197,,4458,,4885,3931,4493,3894,4261,3531,4802,4355,4589,3744,4770,4553,5095,4063,4882,4564,4917,4072,5465,5450,5438,4283,5518,4708,6055,4879,5412,4800,5233,4425,4992,4538,5243,4263,4958,5074,5647,4978,5671,5543,6031,5247,5720,5744,6387,5398,6054,6184,7073,5350,6086,6409,7379,5834,6763,7075,8053,6524,8016,7393,8401,6661,8223,8119,9062,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,,,,1038,,1198,,,1479,1240,,,,,,,,,,,,,,,,,,,,,3329,,,,3883,3044,3662,2981,3192,2790,3619,3203,3602,2806,3825,3393,3916,2900,3762,3414,3781,2945,4309,3794,4228,3304,4283,3542,4682,3728,4315,3709,3961,3341,3954,3398,3942,3218,4079,3872,4292,3812,4562,4335,4760,4098,4588,4565,4962,4337,4933,4911,5417,4231,4947,5082,5857,4547,5379,5595,6304,5126,5679,5750,6204,5187,6246,6207,6816,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,831,913,1069,741,1183,1152,987,938,945,1160,1179,1163,1120,1150,1136,1127,1156,1656,1210,979,1235,1166,1373,1151,1097,1091,1272,1084,1038,1140,1301,1045,879,1202,1355,1166,1109,1208,1271,1149,1132,1179,1425,1061,1121,1273,1656,1119,1139,1327,1522,1287,1384,1480,1749,1398,2337,1643,2197,1474,1977,1912,2246,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283,2290,2212,2225,2065,2079,2220,2350,2196,2185,2269,2393,2329,2371,2517,2594,2460,2528,2640,2783,2767,2748,2743,3123,3065,2903,2984,3094,2962,2900,2980,3146,3106,3062,3355,3514,3574,3504,3715,3933,3977,4070,4316,4513,4565,4603,4887,5214,4926,4899,5204,5687,5599,5758,6306,6849,6628,6844,6984,6739,6659,7142,7653,8056,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,290,40,0,0,0,0,0,0,0,0,0,0,0,6193,0,0,0,0,0,0,0,127,1140,243,190,8438,0,0,0,1110,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Operating Income (Loss),IS_OPER_INC,106.38,110.488,123,159.3,173.5,194.042,202.9,246.1,251,295.979,289,326,338,373,343,415,480,488,437,520,549,532,708,786,774,810,902,1081,1568,1320,1356,1613,1867,1874,2082,2714,2229,2903,2767,2912,2696,2537,2777,3194,2998,2751,2897,3286,3298,1230,3028,2233,2744,1540,3148,1475,1278,3133,3494,4749,3329,2989,4046,4657,3888,3881,4474,3472,6589,3989,5918,6481,4409,5679,5999,5939,4438,3987,4482,8513,5173,5930,7116,8165,5709,6171,7203,7994,6374,192,5308,7771,7612,6073,6334,7969,6974,6482,5844,7776,6594,-2053,6316,7489,6277,5996,6715,7905,6723,7682,7708,8679,8292,10379,9955,10258,10341,12405,12686,13891,12975,13407,15876,17897,17048,19095,20238,22247,20364,20534,21518,20399,22352,24254,26895,27032,27581,27925,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,295,,,,,,,,,8,301,388,-155,-283,-370,-168,-94,-114,-332,-316,-148,-103,-245,11,-167,-226,1,9,-72,-74,91,17,-95,-52,-74,77,-297,295,176,212,-244,-112,-117,-371,-276,-276,-490,-349,-301,-266,-127,-145,-191,0,-194,132,-15,-248,-440,-188,-310,-286,-268,174,47,-54,60,-321,-473,-389,506,854,675,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-417,,,,-515,,,,-521,,521,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,,,,686,,,,553,,,,496,,,,,,,,,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,19,38,38,38,37,45,72,84,94,94,95,95,96,95,105,109,120,118,135,175,169,161,162,211,247,249,309,340,345,437,521,609,655,672,698,691,672,674,672,671,669,637,654,614,686,589,571,633,553,539,525,503,496,500,490,496,482,525,909,800,701,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,281,331,354,431,419,496,462,449,417,433,463,516,515,455,471,484,521,500,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-207,-175,-164,-160,-203,197,-204,-239,-210,-205,-216,-269,-211,-182,-180,-227,-159,-166,-150,-202,-179,-219,-220,-265,-225,-183,-160,-198,,,,,-293,-311,-380,-403,-473,-530,-575,-636,-681,-704,-668,-709,-724,-688,-673,,-570,-545,-519,-497,-520,-503,-519,-552,-641,-700,-748,-905,-1166,-734,-619,-638,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,46,,,37,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,36,126,526,32,-63,-628,-58,133,9,-226,-129,15,-26,-162,88,-101,-191,55,28,-6,13,158,32,-143,90,30,-28,-118,46,-133,-128,-589,-296,-480,-550,-496,-484,-718,-445,-506,-254,-169,-111,-201,29,-184,55,-701,-406,-424,-357,-438,-240,-303,116,180,165,252,53,-51,353,295,535,643,
"Pretax Income (Loss), Adjusted",PRETAX_INC,110.546,117.57,127,163.5,179.5,200.644,211.7,257.7,262.9,308.965,307,347,357,390,362,438,382,540,471,557,592,547,770,885,864,860,945,1140,1603,1626,1202,1770,2057,2088,2503,3051,2949,3388,3320,3691,3613,3651,3852,3917,3658,-33,1887,3357,4026,2243,3047,2596,3197,2214,3901,2312,2279,3227,3773,5169,3825,3861,4552,5137,4315,4553,5041,3805,6971,4284,6216,6820,4810,5968,5991,5638,4050,4142,4765,8883,5341,6024,7230,8497,6025,6319,7306,8239,6363,359,5534,7770,7603,6145,6408,7878,6957,6577,5896,7850,6517,-1756,6021,7313,6065,6240,6827,8022,7094,7958,7984,9169,8641,10680,10221,10385,10486,12596,12686,14085,12843,13422,16124,18337,17236,19405,20524,22515,20190,20487,21572,20339,22673,24727,27284,26526,26727,27250,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,,,-160,,,,-156,166,0,0,1820,0,,3920,1240,660,1190,830,,,978,2830,680,2170,3278,1918,1281,551,1385,0,361,-108,397,0,,,-98.62,749,40,237,17,106,-57,-8,1252,413,-52,-27,-125,-16,-34,-118,-187,-20,-3,-315,-34,7026,15,-43,676,-31,7,-70,-90,-539,1061,-74,21,8289,0,0,0,1110,-405,-698,-790,-1487,-573,-258,-511,-1889,-243,-94,-44,-267,57,-162,101,588,-119,-359,-353,-395,-371,-300,66,250,-13,1191,-105,-157,-139,360,-15,55,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,,,,,127,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,193,,,,,,,,,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-129,-270,452,72,-70,-92,-137,-49,-43,-136,-202,-100,-48,-422,-116,769,-75,-83,-79,-87,-29,-100,-106,-308,-88,-343,-264,-204,,,,,-423,-719,-805,-1833,-579,-254,-527,-1919,-125,-31,-1,-38,-25,-61,3,153,-31,-35,-64,-58,-49,-37,-8,41,-66,4,39,36,-22,56,1,23,
