CAT US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,3,,1103,221,2,102,33,218,31,20,4,78,,,378,17,1,,262,273,290,,17,,26,10,13,,,,,,,,,,512,1,,,,,,,,117,,,,,103,67,941,15,8,60,7345,771,63,454,25,76,,,167,2,5,10,3,12,29,34,77,260,12,26,34,119,18,3,26,12,340,8,9,35,2,1,3,41,35,14,44,18,386,12,51,41,8,28,8,44,5,15,47,8,0,32,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,303,348,418,656,151,397,262,466,187,281,559,245,-97,-7,689,-76,-273,437,838,288,-90,547,431,-86,-16,-9,234,-190,-280,-127,227,493,-129,346,57,147,-248,-9,-998,318,-224,210,470,242,22,815,1026,1288,845,1188,1457,1405,61,331,444,6,450,1469,1101,1007,178,618,486,1141,5,1785,1226,70,-814,497,9,372,192,2204,2052,1297,1158,1441,1205,874,444,1443,780,771,-250,1449,568,941,1032,1768,728,-158,178,1377,791,1296,574,1910,138,1621,582,941,1241,1448,1424,1522,1153,627,-366,1638,1864,2031,823,2542,3279,3149,1316,2302,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,335.5056,380.3674,454.2553,688.5635,184.0387,430.0198,295.2143,,221.7254,319.2727,595.7675,282.8084,-55.8226,39.2072,737.2025,-26.4589,-227.3688,481.0521,886.419,332.8302,-41.9213,597.0215,489.7586,-34.8163,37.3165,41.9398,281.3077,-145.6076,-232.4138,-77.8651,276.5,545.9017,-81.1685,392.8141,103.5361,186.7595,-206.8,33.7963,-954.0588,358.5921,-177.5486,255.9535,516.7588,289,69.2066,861.1779,1076.1976,1340.8889,899.1259,1242.5033,1505.3835,1449.8276,111.8405,381.2727,484.5479,61.9805,535.4958,1567.1272,,,229.7612,681.1047,548.2665,1201.8157,66.734,1853.8,1305.5104,154.4965,-734.8803,569.764,98.3522,460.0154,285.8066,2289.6763,2139.483,1376.4513,1233.7377,1525.5915,1299.2621,976.0064,534.9643,1531.1382,871.6411,863.4391,-153.5151,1546.6319,662.4178,895.2446,1116.6955,1851.3115,809.585,-356.8146,256.6607,1456.1363,873.1733,1371.7527,659.3936,1986.2805,214.3895,1710.3538,663.2584,1030.8009,1347.5307,1554.9288,1532.2243,1611.8396,1243.3651,720.2459,-282.5733,1723.9981,1950.5438,2112.1029,917.3257,2642.8488,3381.0623,3252.2355,1431.145,2406.2766,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,459,,,472,326,199,653,1136,1073,847,-217,576,1058,886,1078,1286,290,1868,1162,1161,905,1228,868,2156,1137,1939,3292,1021,376,91,-281,803,-1156,351,-430,1281,1297,6354,485,1128,576,4217,810,1056,872,1982,2152,-28,1656,3741,1089,1540,771,1057,544,1688,-86,1569,-427,1241,2622,876,-399,-948,719,2733,592,2374,359,2550,2284,1609,433,2525,847,569,2778,1204,629,2061,-369,1325,1816,2573,946,3377,3059,3786,1582,1999,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,0.3786,0.4357,0.527,0.8373,0.1947,0.5132,0.3411,0.6106,0.2466,0.3726,0.7459,0.3312,-0.1321,-0.0096,0.9519,-0.1061,-0.3831,0.6139,1.1803,0.4064,-0.128,0.788,0.6255,-0.1252,-0.0233,-0.0131,0.3408,-0.2767,-0.4075,-0.1846,0.3298,0.7161,-0.1873,0.5019,0.0823,0.2125,-0.3619,-0.0131,-1.4599,0.4649,-0.3274,0.3096,0.6924,0.3593,0.0327,1.2309,1.5707,1.9889,1.3123,1.8548,2.2826,2.2287,0.0988,0.5388,0.7315,0.01,0.7474,2.4011,1.769,1.6133,0.2842,0.9813,0.7683,1.7912,0.0078,2.7653,1.8961,0.1082,-1.2523,0.7612,0.0138,0.5685,0.2926,3.3913,3.2098,2.0361,1.8478,2.3008,1.9706,1.4427,0.734,2.3922,1.334,1.3241,-0.429,2.4807,0.9714,1.6064,1.7566,2.9956,1.2279,-0.2649,0.2977,2.3096,1.3359,2.2291,1.0028,3.3639,0.2481,2.9457,1.0644,1.7378,2.2884,2.6593,2.6061,2.7779,2.1195,1.1639,-0.6848,3.0847,3.5505,3.9254,1.5943,4.9561,6.4319,6.2431,2.6645,4.725,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,6.7419,8.5228,8.1737,9.9895,11.3356,11.7222,17.0882,13.6504,14.2955,20.8946,28.2776,19.4924,32.6651,50.6894,27.8647,21.0011,12.9473,9.5141,7.5389,9.1611,20.3863,17.5402,53.9388,124.9944,944.6934,1039.4339,,,50.3696,36.4997,20.4558,30.9246,68.1175,90.9288,90.6413,,,,,51.5569,55.8774,51.5137,32.1682,20.6033,12.7154,10.9834,11.6401,10.5436,9.4498,12.1099,14.3368,16.5656,32.3921,13.7894,8.4937,10.4172,8.7265,10.3585,12.9248,21.5742,24.487,31.3792,19.9641,11.4297,18.9645,30.2851,56.1144,57.4428,983.1851,53.1588,19.3361,11.1765,10.1694,9.4774,11.5675,12.1431,12.1041,12.4114,12.9703,11.0724,11.749,16.5622,16.096,20.4197,20.0321,13.6109,14.6603,16.4386,27.5724,34.6272,38.0004,41.4568,20.5871,19.7006,17.183,18.4561,19.5334,15.2244,21.0978,18.5598,23.4869,24.9547,21.0642,18.8894,23.8525,41.4431,31.453,23.0631,24.2571,18.8269,17.542,16.1464,15.3791,18.0546,16.6015,19.4932
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,0.9091,3.7609,7.1852,15.3636,,,,,,,30.4,,3.1765,3.0448,0.7685,6.395,0.7917,2.2542,1.959,2.1004,1.4,1.4489,2.6479,2.46,0.902,1.5027,1.4806,1.2966,0.8629,1.1563,2.1273,0.9623,0.2512,0.5964,2.8869,1.4419,-0.2976,2.4028,5.1461,3.4477,-0.3488,3.8032,2.5556,1.5568,1.9506,1.7232,3.5122,2.8982,1.2875,3.64,2.9671,3.2984,1.6899,1.9023,1.9369,2.2321,0.2379,0.8569,-0.9639,1.971,0.3081,1.075,1.7001,1.1619,0.6036,1.3518,2.1391,2.5624,1.6532,2.2928,2.3668,2.5692,0.7657,1.0841,1.5841,2.3797,,5.1429,4.245,8.5388,3.073,1.5615,1.423,2.249,0.6245,2.4916,1.9465,0.9664,0.1986,0.9788,0.7298,2.7575,1.6182,3.301,3.1903,2.5723,2.0575,2.2392,2.0177,2.4716,1.0201,2.6035,2.6941,,1.8081,4.2073,4.1095,,8.026,2.9713,1.1719,,0.5616,1.2583,0.806,1.9876,0.596,1.5975,0.5147,2.2168,1.0348,3.0371,2.5958,2.6564,1.2601,1.4989,1.2202,0.666,0.2036,1.3347,1.2156,1.8838,0.8096,1.1119,1.4531,1.4959,0.7185,1.1268,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,2937,2947,2795,2757,2675,2691,2358,2458,2183,2600,2677,2734,2697,2905,2845,3168,3286,3605,3509,3928,3913,4213,3733,4213,3844,4180,4033,4470,4262,4870,4600,5193,4794,5604,5173,5406,4867,5101,4715,5019,4919,5363,4779,5114,4810,5488,5056,5096,4409,5291,5075,5377,4821,5932,5545,6465,6467,7564,7659,8584,8339,9360,8977,9663,9392,10605,10517,11003,10016,11356,11442,12144,11796,13624,12981,12923,9225,7975,7298,7898,8238,10409,11134,12807,12949,14230,15716,17243,15981,17374,16445,16075,13210,14621,13423,14402,13241,14150,13549,14244,12702,12317,10962,11030,9461,10342,9160,9574,9822,11331,11413,12896,12859,14011,13510,14342,13466,14432,12758,13144,10635,9997,9881,11235,11887,12889,12397,13798,13589,14247,14994,16597,15862,17318,16810,17070,15799,16689,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8510,7254,6583,7193,7551,9723,10452,12141,12277,13535,15023,16557,15288,16684,15739,15357,12484,13886,12678,13646,12493,13391,12758,13500,11961,11583,10285,10318,8780,9645,8463,8885,9130,10639,10713,12194,12150,13279,12763,13630,12724,13671,11974,12386,9914,9310,9228,10570,11191,12193,11707,13097,12886,13539,14278,15871,15099,16545,15988,16237,14960,15840,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,2395,2441,2279,2251,2253,2278,1973,2122,1960,2217,2183,2257,2214,2340,2268,2425,2529,2781,2728,3006,2956,3182,2958,3197,2853,3052,2988,,3060,3535,3374,3778,3435,4099,3883,4103,3707,3879,3612,3843,3711,4010,3657,3807,3644,4130,3830,3805,3548,3991,3933,4195,3750,4447,4259,4959,4817,5670,5875,6642,6385,7074,6744,7123,6784,7672,7876,8240,7407,8579,8559,9213,8893,10315,9995,10365,7306,6024,5511,6090,6127,7606,7979,9569,9260,10512,11666,12966,11441,12478,11836,12097,9828,10958,9952,10716,9597,10350,9791,10653,8910,8822,8014,8387,6974,7567,6674,7690,6960,7978,7841,9127,8732,9604,9207,10176,9193,10133,8758,9300,7441,7262,7056,7912,8137,8997,8728,10106,9665,10095,10353,11802,10320,11310,10863,11304,9960,10464,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7027,5752,5255,5852,5894,7372,7752,9349,9057,10303,11455,12763,11237,12280,11639,11899,9639,10773,9774,10541,9437,10197,9634,10499,8760,8674,7872,8240,6822,7419,6527,7541,6801,7816,7678,8965,8566,9422,9022,9987,9003,9941,8569,9117,7266,7113,6919,7784,8012,8881,8617,10003,9559,9975,10202,11614,10103,11065,10583,11016,9662,10150,
Gross Profit,GROSS_PROFIT,542,506,516,506,422,413,385,336,223,383,494,477,483,565,577,743,757,824,781,922,957,1031,775,1016,991,1128,1045,,1202,1335,1226,1415,1359,1505,1290,1303,1160,1222,1103,1176,1208,1353,1122,1307,1166,1358,1226,1291,861,1300,1142,1182,1071,1485,1286,1506,1650,1894,1784,1942,1954,2286,2233,2540,2608,2933,2641,2763,2609,2777,2883,2931,2903,3309,2986,2558,1919,1951,1787,1808,2111,2803,3155,3238,3689,3718,4050,4277,4540,4896,4609,3978,3382,3663,3471,3686,3644,3800,3758,3591,3792,3495,2948,2643,2487,2775,2486,1884,2862,3353,3572,3769,4127,4407,4303,4166,4273,4299,4000,3844,3194,2735,2825,3323,3750,3892,3669,3692,3924,4152,4641,4795,5542,6008,5947,5766,5839,6225,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,394,406,411,465,385,387,404,473,404,425,415,422,396,427,425,494,432,460,447,511,501,535,498,564,547,568,596,,615,682,693,770,742,799,794,869,808,784,767,808,792,804,811,846,857,900,885,1088,691,907,818,745,849,899,901,1007,1076,1131,1121,1259,1198,1265,1293,1473,1390,1454,1563,1617,1469,1564,1570,1676,1610,1784,1813,2101,2094,1604,1510,1680,1603,1826,1968,1947,1856,2117,2291,2317,2217,2280,2105,2940,2164,2106,2070,2234,2246,2325,2366,2528,2090,2162,2023,2818,1993,1990,2005,3146,2482,2169,2063,2382,2019,2240,2168,2283,2066,2086,1980,1994,1790,1951,1840,1943,1936,2103,2005,2081,2069,2208,2216,3115,2811,2356,2498,2632,2320,2743,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,547,561,,587,634,631,709,653,632,616,640,637,647,650,,621,655,638,,,620,,,,,,,,,,,,,,,821,881,988,,890,968,938,1025,959,1074,1061,1305,882,914,907,942,932,1059,1148,1109,1099,1257,1360,1487,1340,1517,1471,1591,1390,1421,1319,1417,1292,1437,1446,1522,1249,1318,1129,1255,1088,1123,992,1483,1061,1304,1254,1380,1276,1440,1299,1463,1319,1309,1251,1283,1121,1179,1126,1216,1239,1364,1340,1422,1346,1425,1401,1479,1463,1528,1624,1756,1577,1652,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,351,327,355,402,450,510,543,525,584,584,604,587,632,634,613,562,548,469,467,508,516,533,578,524,510,513,572,508,468,453,522,425,458,461,498,443,462,479,466,435,441,431,386,356,341,344,374,374,446,427,439,457,480,476,401,472,528,554,554,520,535,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,339,276,383,269,317,310,295,232,276,347,226,290,131,0,736,212,137,282,350,446,372,387,428,317,334,381,991,397,399,560,1141,996,407,348,504,300,338,390,354,312,336,298,325,313,431,370,353,323,293,238,220,266,303,339,1235,876,300,320,322,223,556,
Operating Income (Loss),IS_OPER_INC,148,100,105,41,37,26,-19,-137,-181,-42,79,55,87,138,152,249,325,364,334,411,456,496,277,452,444,560,449,,587,653,533,645,617,706,496,434,352,438,336,368,416,549,311,461,309,458,341,203,170,393,324,437,222,586,385,499,574,763,663,683,756,1021,940,1067,1218,1479,1078,1146,1140,1213,1313,1255,1293,1525,1173,457,-175,347,277,128,508,977,1187,1291,1833,1601,1759,1960,2323,2616,2596,1038,1218,1557,1401,1452,1398,1475,1392,1063,1702,1333,925,-175,494,785,481,-1262,380,1184,1509,1387,2108,2167,2135,1883,2207,2213,2020,1850,1404,784,985,1380,1814,1789,1664,1611,1855,1944,2425,1680,2731,3652,3449,3134,3519,3482,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,-54,25,0,39,31,84,59,70,251,125,-18,25,40,146,126,91,204,140,65,56,55,11,123,-65,197,142,72,129,46,98,86,91,25,-14,276,-26,-19,0,516,-57,35,15,485,-109,106,122,439,-183,-81,-111,-951,-144,-152,-133,-419,97,0,-66,-115,-13,-18,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,74,71,,,,,,69,,66,-4.795,66,65,61,54,57,59,60,54,65,65,68,,68,66,,,,,,60,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,89,86,133,65,57,43,43,51,49,53,66,70,108,115,109,119,99,94,96,88,83,57,48,36,31,-6,126,7,19,
    + Interest Expense,IS_INT_EXPENSE,62,74,62,60,73,72,75,74,79,85,76,84,69,72,66,61,51,50,49,50,48,48,48,47,49,49,48,,52,58,53,56,61,69,68,66,67,65,71,66,71,74,71,76,78,75,69,63,69,71,66,73,66,65,61,54,57,59,60,54,65,65,68,62,68,66,72,68,79,80,69,60,74,70,59,71,101,109,91,88,102,81,85,75,87,90,112,107,113,110,129,115,120,120,116,109,110,120,128,126,129,125,127,126,129,130,126,120,123,121,118,169,101,102,102,99,103,103,103,112,113,135,136,130,142,120,114,112,109,108,109,117,129,127,129,126,143,137,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,32,32,36,36,45,59,56,52,54,50,46,43,27,21,21,23,21,20,16,21,25,52,69,93,96,135,0,136,118,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13,,,,-8,,-3,7,,,,,5,8,4,,-2,3,-4,,,6,,,,,,,,,,,,,,,17,32,25,,19,5,27,-22,11,10,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64,-163,-66,-88,-63,-50,-1,-16,-17,161,13,-125,-88,-70,17,11,-29,84,24,-44,-54,-65,-117,-3,-194,72,15,-54,0,-84,-28,-34,-58,-176,-129,119,-110,-136,-124,432,-90,33,-43,386,-254,2,50,259,-207,-148,-252,-1047,-185,-11,-324,42,133,-71,-77,-241,-62,-54,
"Pretax Income (Loss), Adjusted",PRETAX_INC,146,55,74,-17,-47,-28,-58,-432,-253,-90,18,-7,44,89,378,212,271,340,319,379,443,479,282,433,439,555,448,,590,638,542,668,637,666,474,401,301,422,327,371,381,466,261,392,237,399,299,237,116,289,284,421.329,178,554,291,474,570,761,680,733,813,1075,970,1116,1210,1495,1103,1134,1191,1208,1322,1305,1342,1540,1263,360,-212,401,252,128,469,946,1103,1232,1763,1350,1634,1978,2298,2576,2450,912,1127,1353,1261,1387,1342,1420,1381,940,1767,1136,783,-247,365,739,383,-1348,289,1159,1523,1111,2134,2186,2135,1367,2264,2178,2005,1365,1513,678,863,941,1997,1870,1775,2562,1999,2096,2558,2099,2634,3652,3515,3249,3532,3500,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,569,85,-2,66,-37,44,5,44,-29,317,160,316,-15,-20,-215,497,65,-105,10,92,159,137,80,100,-85,86,98,893,161,139,324,1975,752,113,90,546,69,114,110,588,48,110,31,522,-217,147,189,496,64,25,35,-867,13,75,49,528,1183,31,46,-27.7848,-6,486,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37,23,-3,37,-11,113,34,-17,-78,46,1,-41,36,-25,-19,-10,,10,,,,,,,,,,,,-56,,,,,,,,,,,,,,,,,,,,,,-606,,,,-22.7848,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,7,11,,-16,,,,,,,,,,,,,,,,,,,,,,,,,,-7,,,,5,,,,2,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18,,,,31,-103,19,-72,22,38,-5,-12,10,9,-1,3,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,,,,,228,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-135,,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,1,1,1,,,4,1,,1,-273,-7,,1,,,,,,,,,,214,,,,985,,,,301,,,,495,,,,468,-254,,77,438,,,,-833,,,,,,,,-97,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,146,55,74,-17,-47,-28,-58,-432,-253,-90,18,-7,44,89,378,212,271,340,319,379,443,479,282,433,439,555,448,,590,638,542,668,637,666,474,401,301,422,327,371,381,466,261,392,237,399,299,237,116,289,284,421.329,178,554,291,474,570,761,680,733,813,1075,970,1116,1210,1495,1103,1134,1191,1208,1322,1305,1342,1540,1263,360,-212,401,252,128,469,946,1103,1232,1763,1350,1634,1978,2298,2576,2450,912,1127,1353,1261,1387,1342,1420,1381,940,1767,1136,783,-247,365,739,383,-1348,289,1159,1523,1111,2134,2186,2135,1367,2264,2178,2005,1365,1513,678,863,941,1997,1870,1775,2562,1999,2096,2558,2099,2634,3652,3515,3249,3532,3500,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,47,9,20,2,-15,-11,-21,-105,-96,-26,13,-5,10,22,-54,64,79,100,75,100,143,156,69,133,143,181,138,,196,217,166,217,207,220,138,100,96,136,104,119,123,151,45,128,75,128,94,70,36,89,71,116,49,155,69,125,158,209,182,182,232,315,303,270,370,449,334,252,375,385,395,330,420,434,395,-296,-80,40,-139,-91,231,209,295,233,512,318,474,416,689,872,753,214,246,387,310,376,418,419,364,179,521,335,218,-158,92,184,96,-180,90,361,470,2418,472,490,415,321,387,565,518,276,425,227,187,167,475,470,368,429,469,427,527,644,708,752,734,587,688,836,
