AAPL US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,220,0,0,0,0,0,325,290,23,0,0,0,244,0,350,0,0,284,15,144,53,525,34,339,2867,23,92,115,113,86,54,6,151,17,50,181,81,173,132,126,290,167,124,320,13,958,176,339,51,9,0,4,20,,167,2,137,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,431,-22,-86,-722,156,-373,274,395,72,82,-210,187,136,148,139,306,218,250,81,202,335,34,223,127,-35,-61,-63,112,6,-41,-68,18,90,58,-38,15,175,26,173,384,717,493,409,656,201,-318,770,910,1671,624,944,1491,2563,873,1017,3892,3599,741,2024,2651,5405,2056,4206,4923,8559,5595,10331,8784,16233,12520,8133,5675,21109,10496,5943,7953,20685,12156,7877,9424,30505,16712,12945,9857,23851,9265,7825,12556,23900,9370,6746,11884,25483,10935,11221,16482,23335,8792,9636,17133,28409,11458,14706,18792,35263,21712,19001,16977,44163,25652,20790,20838,30218,25644,24287,19435,37503,20694,26707,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,435.4013,-15.7069,-75.9512,-717.6421,166.6729,,,406.25,,,,,,,,,232.3905,263.2353,90.7511,206.44,338.3394,41.3041,226.6792,,-31.2259,-57.5323,-60.1954,113.4043,8.1509,-38.8182,-66.359,20.2414,91.6154,59.4737,-36.5385,16.4909,176.4483,26.7188,173,,717,493,409,656,201,-318,770,910,1671,624,944,1491,2563,873,1017,3892,3599,741,2024,2651,5405,2056,4206,4923,8559,5595,10331,8784,16233,12520,8133,5675,21109,10496,5981.7599,8014.4706,20747.0051,12218.8857,7950.9031,9508.8767,30601.7048,16831.1417,13093.2814,10032.7743,24057.2278,9503.6958,8129.572,12888.811,24288.4522,9768.0775,7210.0638,12396.72,26027.8653,11612.0797,11954.5949,17228.6354,24078.2799,9638.5606,10366.2581,17820.3975,29082.4802,12106.3055,15303.042,19331.2042,35809.3441,22277.2101,19594.367,17571.0413,44745.7507,26225.4069,21396.0348,21532.9859,31062.6227,26435.6567,25159.7945,20286.9858,,,,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,35,-216,235,181,148,150,317,218,271,81,205,335,44,224,53,-108,-64,-63,112,6,-41,-68,18,90,58,,,,,173,,,493,,,201,,770,910,1676,624,944,1491,2563,873,1017,3892,3599,741,2024,2651,5405,2056,4206,4923,8559,5595,10331,8784,16233,12520,8133,5675,21109,10496,22839,7953,20685,12156,21847,13720,31581,24460,23625,19658,22611,25586,12220,15137,26285,19839,15983,18807,32454,10434,5210,16455,23341,6250,4563,16923,28640,12261,16874,18089,34285,32135,19001,20197,43163,23901,21761,22495,20603,23648,24004,21428,33519,17546,23454,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,0.0316,-0.0016,-0.0062,-0.0517,0.0113,-0.0269,0.0198,0.0283,0.0052,0.0058,-0.0148,0.0131,0.0095,0.01,0.0093,0.0203,0.0144,0.0164,0.005,0.0112,0.0186,0.0019,0.0123,0.0069,-0.0019,-0.0031,-0.0032,0.0057,0.0003,-0.0021,-0.0034,0.0009,0.0045,0.0029,-0.0019,0.0007,0.0086,0.0013,0.0082,0.0179,0.0325,0.0218,0.0179,0.0285,0.0086,-0.0135,0.0323,0.038,0.0696,0.0258,0.0389,0.0611,0.1045,0.0354,0.0411,0.1567,0.1446,0.0297,0.0809,0.1054,0.2136,0.0809,0.1647,0.1922,0.3325,0.2164,0.3984,0.338,0.6227,0.479,0.3101,0.216,0.8029,0.3989,0.2311,0.3141,0.8244,0.4963,0.3275,0.397,1.3052,0.7211,0.5648,0.4364,1.0726,0.42,0.3594,0.5849,1.1276,0.4483,0.3246,0.577,1.246,0.544,0.5746,0.8582,1.2318,0.4703,0.5271,0.9538,1.6086,0.657,0.8525,1.1017,2.0822,1.296,1.1426,1.0297,2.6942,1.5758,1.2863,1.2999,1.9014,1.6244,1.5472,1.2459,2.418,1.3433,1.747,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1106,7.0984,2.761,5.2093,20.927,8.6305,13.8231,6.1114,6.9354,6.7709,5.3179,7.3798,12.0248,17.931,33.0427,21.2904,11.6021,13.8308,27.7816,29.632,,,596.1625,600.1002,498.5031,,52.1988,53.4827,59.6019,36.857,55.1745,30.7937,19.2146,19.2165,18.5193,14.6001,19.0165,33.4005,53.8748,36.5518,41.9844,23.9671,20.0191,25.2896,28.0442,30.708,21.3544,24.6901,12.0187,8.0684,10.0909,12.3517,18.3589,17.5169,17.4537,15.9092,15.5554,14.9544,13.7399,10.5196,10.5955,9.1808,11.6499,11.9202,14.6367,10.5122,9.1489,8.5885,9.7459,11.3292,10.2733,11.8389,12.3148,10.9242,11.3083,10.4936,9.1082,9.4152,10.9258,10.4436,11.5974,11.6193,14.2509,14.4865,15.552,16.298,15.5834,15.732,17.5111,12.2903,15.1483,16.0269,17.5915,20.623,16.9686,22.3973,27.4443,28.2716,22.9072,24.3592,25.493,28.8145,27.1035,20.7592,20.1569,21.4288,26.9801,30.4371,27.0954,28.1664,26.1628,31.1838,34.4974
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,2.3006,2.5203,0.9915,1.5074,-0.1381,,0.6822,1.8414,2.1458,2.0285,0.2162,0.4884,-0.4765,,-150.1025,9.1816,-0.8471,1.0302,2.111,2.4096,0.0959,-0.2621,-11.2167,,,,16.28,,,,,3.0426,2.7818,1.5446,3.0472,1.4671,1.9926,0.4335,1.964,2.0383,0.2618,1.17,0.9294,,-1.0233,-0.541,4.1667,1.1053,0.05,-1.1563,,,7,0.4211,1.6591,3.4762,1.3261,3.459,4.1792,2.6271,1.8483,1.4796,1.757,0.5009,-0.3049,2.1335,1.9465,1.7933,0.9483,1.4607,1.9494,1.7628,1.0836,1.168,1.9114,1.7463,0.5191,1.2418,1.2283,1.7114,0.758,1.4759,1.3192,1.6277,1.0388,1.52,1.5747,1.3437,1.2026,1.1547,1.111,1.7913,1.3097,1.1345,1.319,1.7342,1.3243,1.3236,1.5649,1.8709,1.4062,1.4038,1.2113,1.4957,1.1032,1.364,1.8341,1.5222,1.1193,1.0206,1.4699,1.4101,1.0946,1.2577,1.3822,1.3368,0.9649,1.1585,1.4548,1.3724,1.1833,1.4459,1.6236,1.348,1.0149,0.9701,0.9829,1.3562,1.1262,1.1775,1.1644,1.1336,1.1821,1.3269,0.9408,1.1763,0.96,1.3455,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,1346.202,1364.76,1354.09,1675.506,1597.678,1528.604,1507.061,1862.6121,1716.025,1740.171,1767.734,2000.292,1973.894,1861.979,2140.7891,2468.854,2076.7,2149.908,2493.2859,2832,2652,2575,3003,3148,2185,2179,2321,2129,1601,1737,1614,1578,1405,1402,1556,1710,1530,1558,1336,2343,1945,1825,1870,1007,1431,1475,1450,1375,1495,1429,1443,1472,1475,1545,1715,2006,1909,2014,2350,3490,3243,3520,3678,5749,4359,4370,4837,7123,5286,5563,6606,9608,7980,7561,11520,11880,9084,9734,12207,15683,13499,15700,20343,26741,24667,28571,28270,46333,39186,35023,35966,54512,43603,35323,37472,57594,45646,37432,42123,74599,58010,49605,51501,75872,50557,42358,46852,78351,52896,45408,52579,88293,61137,53265,62900,84310,58015,53809,64040,91819,58313,59685,64698,111439,89584,81434,83360,123945,97278,82959,90146,117154,94836,81797,89498,119575,90753,85777,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11880,9084,9734,12207,15683,13499,15700,20343,26741,24667,28571,28270,46333,39186,35023,35966,54512,43603,35323,37472,57594,45646,37432,42123,74599,58010,49605,51501,75872,50557,42358,46852,78351,52896,45408,52579,88293,61137,53265,62900,84310,58015,53809,64040,91819,58313,59685,64698,111439,89584,81434,83360,123945,97278,82959,90146,117154,94836,81797,89498,119575,90753,85777,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,609.59,628.188,652.235,814.862,818.607,828.354,852.295,1049.3311,960.496,968.844,1012.666,1189.3669,1213.131,1255.975,1590.361,1876.83,1577.636,1576.036,1814.413,2018,1957,1847,2382,2673,2606,1776,1810,1732,1298,1389,1294,1225,1056,1042,1139,1228,1127,1131,952,1736,1396,1282,1403,1028,1046,1041,1013,953,1086,1038,1062,1066,1057,1117,1259,1470,1379,1455,1716,2494,2275,2476,2644,4185,3062,3045,3425,4900,3435,3530,4561,6276,5373,4818,7077,7373,5457,5751,7102,9272,7874,9564,12831,16443,14449,16649,16890,25630,20622,20029,21565,33452,27254,22299,23601,35748,27699,22697,26114,44858,34354,29924,30953,45449,30636,26252,29039,48175,32305,27920,32648,54381,37715,32844,38816,52279,36194,33582,39727,56602,35943,37005,40009,67111,51505,46179,48186,69702,54719,47074,52051,66822,52860,45384,49071,64720,48482,46099,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7373,5457,5751,7102,9272,7874,9564,12831,16443,14449,16649,16890,25630,20622,20029,21565,33452,27254,22299,23601,35748,27699,22697,26114,44858,34354,29924,30953,45449,30636,26252,29039,48175,32305,27920,32648,54381,37715,32844,38816,52279,36194,33582,39727,56602,35943,37005,40009,67111,51505,46179,48186,69702,54719,47074,52051,66822,52860,45384,49071,64720,48482,46099,
Gross Profit,GROSS_PROFIT,736.612,736.572,701.855,860.644,779.071,700.25,654.7661,813.281,755.5291,771.327,755.068,810.925,760.7631,606.004,550.4281,592.024,499.064,573.8719,678.8729,814,695,728,621,475,-421,403,511,397,303,348,320,353,349,360,417,482,403,427,384,607,549,543,467,-21,385,434,437,422,409,391,381,406,418,428,456,536,530,559,634,996,968,1044,1034,1564,1297,1325,1412,2223,1851,2033,2045,3332,2607,2743,4443,4507,3627,3983,5105,6411,5625,6136,7512,10298,10218,11922,11380,20703,18564,14994,14401,21060,16349,13024,13871,21846,17947,14735,16009,29741,23656,19681,20548,30423,19921,16106,17813,30176,20591,17488,19931,33912,23422,20421,24084,32031,21821,20227,24313,35217,22370,22680,24689,44328,38079,35255,35174,54243,42559,35885,38095,50332,41976,36413,40427,54855,42271,39678,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,0,0,,,,,,,,,,0,,,,,0,,,,,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,537.44,554.331,561.34,632.252,592.526,565.048,533.513,550.627,545.124,570.266,623.38,570.14,591.697,591.814,543.275,527.317,464.329,341.451,615.317,547,529,572,549,594,554,519,505,521,489,408,353,313,298,292,308,355,315,323,317,507,379,375,383,399,393,392,384,402,381,378,396,420,419,419,425,462,468,479,501,593,566,618,622,814,768,759,804,898,863,954,1030,1206,1159,1208,1297,1406,1304,1351,1421,1686,1646,1902,2065,2471,2344,2543,2670,3363,3180,3421,3457,3850,3791,3823,3841,4383,4354,4453,4844,5495,5378,5598,5925,6252,5934,6001,6052,6817,6494,6720,6811,7638,7528,7809,7966,8685,8406,8683,8688,9648,9517,9589,9914,10794,10576,11129,11388,12755,12580,12809,13201,14316,13658,13415,13458,14482,14371,14326,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,,,,319,,,282,297,,,,,,,,,,299,,,,,379,,,,,632,,584,625,,680,746,823,960,886,916,999,1091,985,1010,1063,1288,1220,1438,1571,1896,1763,1915,2025,2605,2339,2545,2551,2840,2672,2645,2673,3053,2932,2850,3158,3600,3460,3564,3705,3848,3423,3441,3482,3946,3718,3783,3814,4231,4150,4108,4216,4783,4458,4426,4578,5197,4952,4831,4936,5631,5314,5412,5616,6449,6193,6012,6440,6607,6201,5973,6151,6786,6468,6320,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,319,341,358,398,426,464,494,575,581,628,645,758,841,876,906,1010,1119,1178,1168,1330,1422,1603,1686,1895,1918,2034,2220,2404,2511,2560,2570,2871,2776,2937,2997,3407,3378,3701,3750,3902,3948,4257,4110,4451,4565,4758,4978,5163,5262,5717,5772,6306,6387,6797,6761,7709,7457,7442,7307,7696,7903,8006,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Operating Income (Loss),IS_OPER_INC,199.172,182.241,140.515,228.392,186.545,135.202,121.253,262.654,210.405,201.061,131.688,240.785,169.066,14.19,7.153,64.707,34.735,232.421,63.556,267,166,156,72,-119,-975,-116,6,-124,-186,-60,-33,40,51,68,109,127,88,104,67,100,170,168,84,-420,-8,42,53,20,28,13,-15,-14,-1,9,31,74,62,80,133,403,402,426,412,750,529,566,608,1325,988,1079,1015,2126,1448,1535,3146,3101,2323,2632,3684,4725,3979,4234,5447,7827,7874,9379,8710,17340,15384,11573,10944,17210,12558,9201,10030,17463,13593,10282,11165,24246,18278,14083,14623,24171,13987,10105,11761,23359,14097,10768,13120,26274,15894,12612,16118,23346,13415,11544,15625,25569,12853,13091,14775,33534,27503,24126,23786,41488,29979,23076,24894,36016,28318,22998,26969,40373,27900,25352,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65,,,,,,,,,,,,,-158,-63,-60,-45,-33,-50,-58,-14,-136,-26,-172,-81,-137,-148,-288,51,-462,-347,-234,-113,-246,-225,-202,-307,-170,-286,-390,-439,-402,-155,-364,-427,-821,-587,-540,-797,-756,-274,-672,-303,-560,-378,-367,-502,-349,-282,-46,-126,-45,-508,-243,538,247,-160,10,237,393,-64,265,-29,50,-158,-142,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16,,,,,10,,-62,-59,,,,,,,,,,-13,,,,,,-28,-39,-51,-65,-88,-87,-99,-120,,,,,,,,,,,,,,,,,,,,,-228,-254,,,-421,-420,-332,-307,-343,-325,-339,-404,-523,-512,-565,-588,-665,-665,-627,-586,-699,-752,-725,-702,-718,-713,-572,-443,-417,-348,-324,-296,-260,-292,-204,-134,-109,-48,-54,13,44,-9,-3,74,135,12,18,18,,,,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,0.163,6.663,9.678,23.149,7,10,16,6.9,17,13,12,18,,,,,,,,,16,15,11,5,5,10,5,,5,5,4,2,3,3,2,3,2,2,2,2,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,83,84,85,100,115,131,163,201,238,276,321,409,450,525,530,602,666,734,792,846,868,890,1010,866,810,785,757,697,634,638,670,665,672,694,691,719,827,1003,930,998,1002,,,,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,55,,64,60,51,43,34,29,29,26,23,18,15,13,14,15,15,,28,39,51,65,88,87,99,120,,,,,,,,,,,,,,,,,,,,,228,254,,,421,420,385,390,427,410,439,519,654,675,766,826,941,986,1036,1036,1224,1282,1327,1368,1452,1505,1418,1311,1307,1358,1190,1106,1045,1049,901,768,747,718,719,659,650,700,722,753,868,918,980,984,,,,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-158,-63,-60,-45,-33,-50,-58,-14,-136,-26,-172,-81,91,106,-288,51,-41,73,98,194,97,100,137,97,353,226,175,149,263,510,263,159,-122,165,185,-95,-38,439,-100,140,-143,-30,-43,-206,-89,10,158,8,64,-460,-189,525,203,-151,13,163,258,-76,247,-47,50,-158,-142,
"Pretax Income (Loss), Adjusted",PRETAX_INC,216.092,196.335,161.434,242.756,211.53,-85.573,131.031,267.771,217.869,212.363,157.439,260.227,178.869,-303.735,4.298,64.544,28.072,222.743,184.927,299,116,164,95,-109,-1175,-51,40,-120,-708,-56,-161,47,59,109,114,169,153,229,125,274,319,265,229,-295,62,87,94,53,55,39,-60,-8,19,26,55,87,64,85,147,429,435,472,476,831,605,661,721,1451,1136,1234,1185,2326,1610,1653,3286,3259,2386,2692,3729,4758,4029,4292,5461,7963,7900,9551,8791,17477,15532,11861,10893,17672,12905,9435,10143,17709,13818,10484,11472,24416,18564,14473,15062,24573,14142,10469,12188,24180,14684,11308,13917,27030,16168,13284,16421,23906,13793,11911,16127,25918,13135,13137,14901,33579,28011,24369,23248,41241,30139,23066,24657,35623,28382,22733,26998,40323,28058,25494,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,530,,137,,,-26,,-32,-42,-101,-6,,-100,-50,,13,-3,,-1,1,,,70,23,2.8,,-14,-4,10,8,5,,10,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-60,-50,-78,-22,56,3,54,-475,76,-20,-42,31,-20,-48,-702,-116,36,-205,29,47,37,-28,-24,-13,37,-14,-92,-118,-96,-70,0,0,0,0,0,0,0,0,0,0,0,0,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-236,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-548,,,,,,,-640,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,216.092,196.335,161.434,242.756,211.53,-85.573,131.031,267.771,217.869,212.363,157.439,260.227,178.869,-303.735,4.298,64.544,28.072,222.743,184.927,299,116,164,95,-109,-1175,-51,40,-120,-708,-56,-161,47,59,109,114,169,153,229,125,274,319,265,229,-295,62,87,94,53,55,39,-60,-8,19,26,55,87,64,85,147,429,435,472,476,831,605,661,721,1451,1136,1234,1185,2326,1610,1653,3286,3259,2386,2692,3729,4758,4029,4292,5461,7963,7900,9551,8791,17477,15532,11861,10893,17672,12905,9435,10143,17709,13818,10484,11472,24416,18564,14473,15062,24573,14142,10469,12188,24180,14684,11308,13917,27030,16168,13284,16421,23906,13793,11911,16127,25918,13135,13137,14901,33579,28011,24369,23248,41241,30139,23066,24657,35623,28382,22733,26998,40323,28058,25494,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,84.277,76.571,62.958,92.247,80.381,-32.518,49.793,101.753,82.791,80.698,59.827,98.886,67.969,-115.419,1.634,24.526,10.668,84.642,70.272,111,43,61,35,-40,-435,-19,15,0,0,0,0,0,4,8,8,17,18,26,14,91,86,70,59,-88,19,26,28,15,15,7,-15,-2,5,7,14,24,18,24,41,134,145,153,48,266,195,189,179,440,362,394,315,745,509,522,1039,1004,766,864,1197,1380,955,1039,1153,1959,1913,2243,2168,4413,3910,3037,2670,4594,3358,2535,2631,4637,3595,2736,3005,6392,4995,3796,3938,6212,3626,2673,3174,6289,3655,2591,3203,6965,2346,1765,2296,3941,2232,1867,2441,3682,1886,1884,2228,4824,4381,2625,2697,6611,5129,3624,3936,5625,4222,2852,4042,6407,4422,4046,
