GOOG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.757,,,386.639,466.137,354.413,412.591,479.866,,,544.156,622.7,654.828,1080.003,1015.039,937.849,1068.637,1733.452,1754.455,,,2539.644,2510.174,2345,1609,4250,2323,2031,3579,3270,2973,4336,4227,3131,2980,2029,2943,2792,2980,3039,1977,3574,2809,3792,4578,3769,4495,5224,5955,7214,6336,7063,4547,6353,5957,5686,3311,7923,5930,7332,6455,8589,8328,5397,8567,21399,17141,13310,15352,18678,18436,15322,12238,15403,15851,17195,21646,22435,7459,15739,13924,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1754,3.2521,2.0561,4.585,1.8035,1.4345,1.822,1.6967,1.769,1.3926,1.1657,1.3695,0.8837,1.217,1.3295,1.5259,1.4035,1.3614,1.4159,1.6938,5.5493,1.581,1.0839,1.6632,1.3837,1.3217,1.1332,1.3318,1.3866,1.7642,1.4048,1.4474,1.4506,1.2782,1.5268,1.8401,1.6178,1.0858,1.4576,1.7114,1.5515,1.272,1.6792,2.1884,1.3613,1.9124,1.8051,1.5444,1.3425,1.8203,1.87,1.9453,1.765,1.7597,2.1007,1.4664,,1.2384,3.1712,1.4371,1.4514,1.8026,1.2694,2.1882,1.352,1.6751,2.0108,1.5118,1.4893,1.0758,1.1816,1.3487,1.2079,1.5275,1.2137,1.6789,1.7333,1.562,1.5606,1.557,0.9143,1.2192,1.1279,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.175,651.623,700.212,805.887,1031.501,1256.516,1384.495,1578.456,1919.093,2253.755,2455.991,2689.673,3205.498,3663.971,3871.985,4231.351,4826.679,5186.043,5367.212,5541.391,5700.904,5508.99,5522.897,5944.851,6673.825,6775,6820,7286,8440,8575,9026,9720,10584,10645,11807,13304,14419,12951,13107,13754,15707,15420,15955,16523,18103,17258,17727,18675,21329,20257,21500,22451,26064,24750,26010,27772,32323,31146,32657,33740,39276,36339,38944,40499,46075,41159,38297,46173,56898,55314,61880,65118,75325,68011,69685,69092,76048,69787,74604,76693,86310,80539,84742,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330.9,5336.1,5756.6,6465.19,6475,6562,7032,8167,8306,8716,9335,10174,10225,11368,12638,13590,11902,12061,12524,14060,13866,14498,14820,16309,15508,16023,16781,19078,18020,19143,19821,22399,21411,22672,24065,27227,26642,28087,28954,32518,30587,32494,33796,37934,33763,29867,37095,46199,44684,50444,53130,61239,54661,56288,54482,59042,54548,58143,59647,76311,61659,64616,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.868,315.398,326.377,362.099,453.779,545.208,597.095,653.826,777.035,904.119,989.032,1048.728,1283.148,1470.426,1560.255,1662.579,1955.825,2110.536,2147.575,2173.39,2190.005,2101.504,2107.971,2226.24,2408.4,2452,2467,2552,2946,2936,3172,3378,3702,3789,4677,5955,6213,5136,5195,5409,6253,5961,6114,6695,6921,6356,6583,7037,8188,7648,8130,8699,10661,9795,10373,11148,14267,13467,13883,14281,17918,16012,17296,17568,21020,18982,18553,21117,26080,24103,26227,27621,32988,29599,30104,31158,35342,30612,31916,33229,37575,33712,35507,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101.504,2107.971,2226.24,2408.4,2452,2467,2552,2946,2936,3172,3378,3702,3789,4677,5955,6213,5136,5195,5409,6253,5961,6114,6695,6921,6356,6583,7037,8188,7648,8130,8699,10661,9795,10373,11148,14267,13467,13883,14281,17918,16012,17296,17568,21020,18982,18553,21117,26080,24103,26227,27621,32988,29599,30104,31158,35342,30612,31916,33229,37575,33712,35507,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.307,336.225,373.835,443.788,577.722,711.308,787.4,924.63,1142.058,1349.636,1466.959,1640.945,1922.35,2193.545,2311.73,2568.772,2870.854,3075.507,3219.637,3368.001,3510.899,3407.486,3414.926,3718.611,4265.425,4323,4353,4734,5494,5639,5854,6342,6882,6856,7130,7349,8206,7815,7912,8345,9454,9459,9841,9828,11182,10902,11144,11638,13141,12609,13370,13752,15403,14955,15637,16624,18056,17679,18774,19459,21358,20327,21648,22931,25055,22177,19744,25056,30818,31211,35653,37497,42337,38412,39581,37934,40706,39175,42688,43464,48735,46827,49235,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.889,180.902,202.877,231.676,274.923,268.538,311.702,395.459,482.418,606.937,651.587,709.614,861.756,972.336,1207.115,1250.93,1430.12,1529.272,1641.672,1720.436,1650.695,1523.895,1541.032,1644.893,1784.442,1835,1988,2187,2512,3343,2973,3284,3375,3467,3893,4609,4812,4067,4447,4584,5025,5344,5583,6104,6783,6455,6319,6930,7761,7267,7402,7985,8764,8387,11505,8842,10392,10046,15729,10834,13137,13719,12468,13754,15789,14200,13361,13843,15167,14774,16292,16466,20452,18318,20128,20799,22546,21760,20850,22121,25038,21355,21810,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.41,82.354,106.286,,140.218,168.592,197.43,292.547,,,,474.95,,,,799.337,,959.462,1015.865,917.353,882.252,833.406,887.369,1048.208,1017,1090,1193,1461,1617,1739,1880,2077,2026,2355,2730,2877,2450,2681,2763,3092,3218,3345,3449,3970,3702,3530,3700,4251,3900,4039,4389,5142,4445,4597,4637,6086,5007,5544,5602,7103,5993,6255,7200,8567,7380,6486,6987,8145,7289,8617,8772,11744,9199,10287,10526,12279,10292,10262,10863,12925,9452,9950,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.904,56.777,65.512,,82.952,97.024,104.996,162.632,,,,255.206,,,,422.291,,484.552,508.801,505.993,433.941,469.039,497.812,583.149,607,629,661,902,1026,1091,1204,1268,1269,1413,1710,1751,1435,1583,1628,1908,1729,1941,2084,2377,2065,2080,2223,2679,2387,2415,2565,3118,2644,2897,3042,4310,3604,3780,3849,5100,3905,4212,4609,5738,4500,3901,4231,5314,4516,5276,5516,7604,5825,6630,6929,7183,6533,6781,6884,7719,6426,6792,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.311,364.367,389.557,465.059,410,461,532,559,591,648,676,809,757,942,1020,1126,1015,1098,1135,1184,1489,1404,1365,1593,1637,1450,1477,1572,1513,1624,1824,2024,1801,1700,1595,1776,1403,1764,1753,2003,2088,2043,2591,2829,2880,2585,2756,2831,2773,3341,3256,4140,3374,3657,3597,5096,3759,3481,3979,5206,3026,3158,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.643,707.626,757.524,736.234,818,898,994,1051,1226,1234,1404,1298,1441,1527,1778,1847,1594,1741,1821,1933,2126,2238,2655,2813,2753,2789,3230,3510,3367,3363,3596,3622,3942,4172,4205,4306,5039,5114,5232,6034,6029,6213,6554,7222,6820,6875,6856,7022,7485,7675,7694,8708,9119,9841,10273,10267,11468,10588,11258,12113,11903,11860,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736,0,0,0,5071,0,0,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.418,155.323,170.958,212.112,302.799,442.77,475.698,529.171,659.64,742.699,815.372,931.331,1060.594,1221.209,1104.615,1317.842,1440.734,1546.235,1577.965,1647.565,1860.204,1883.591,1873.894,2073.718,2480.983,2488,2365,2547,2982,2296,2881,3058,3507,3389,3237,2740,3394,3748,3465,3761,4429,4115,4258,3724,4399,4447,4825,4708,5380,5342,5968,5767,6639,6568,4132,7782,7664,7633,3045,8625,8221,6608,9180,9177,9266,7977,6383,11213,15651,16437,19361,21031,21885,20094,19453,17135,18160,17415,21838,21343,23697,25472,27425,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.21,17.718,7.177,-87.688,-18,-69,-167,-160,-96,-204,-302,18,-156,-253,-65,-152,-134,-236,-14,-112,-357,-145,-133,-128,-157,-131,-183,180,213,-151,-278,-218,-251,-245,-197,-354,-2910,-1170,-1458,-1851,-1538,-2967,549,-1438,220,-1894,-2146,-3038,-4846,-2624,-2033,-2517,1160,439,902,1013,-790,-65,146,-715,-2843,-126,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,1.498,-3.866,,-11.7,-19.722,-25.4,,-78.924,-103.01,-108.209,-124.139,-130.133,-137.74,-145.668,-167.294,-121.616,-88.086,-90.996,-69.899,,,,,,,,,,,-190,-162,-162,-158,-151,-158,-159,-163,-177,-186,-144,-142,-162,-197,-200,-214,-233,-248,-240,-275,-289,-292,-287,-273,-279,-364,-369,-429,-453,-513,-487,-628,-608,-604,-565,-420,-412,-333,-269,-313,-310,-261,-331,-403,-514,-569,-717,-849,-950,-1041,-967,-1023,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,0.021,,0.342,0.244,0.446,,0.387,0,0,18.549,,,,,,,,,,,21,37,20,22,21,21,21,19,19,22,24,27,25,25,26,26,26,26,30,32,29,33,25,21,27,36,30,27,28,29,35,25,23,17,21,13,48,53,76,76,77,117,83,83,101,90,80,43,116,69,94,67,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.196,11.7,,25.4,68.338,78.924,103.187,108.23,,130.475,137.984,146.114,,122.003,88.086,90.996,88.448,66.092,50.017,46.702,66.862,95,136,172,176,190,212,211,199,182,180,172,179,180,182,196,208,168,169,187,222,226,240,259,274,270,307,318,325,312,294,306,400,399,456,481,542,522,653,631,621,586,433,460,386,345,389,387,378,414,486,615,659,797,892,1066,1110,1061,1090,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.038,-15.966,-19.977,-124.773,-28,-39,-65,-58,-34,-64,-136,25,-137,-244,-61,-86,-36,-121,4,-37,-322,90,-38,-64,-19,-16,-50,267,267,-4,-112,36,34,-18,29,-10,-2565,-774,-1060,-1370,-977,-2391,1198,-794,704,-1566,-1818,-2792,-4464,-2362,-1862,-2419,1418,582,1280,1397,-283,516,785,-123,-2114,724,
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.425,155.323,169.46,14.978,310.173,456.456,495.42,549.968,639.833,810.618,976.177,1039.511,1184.733,1351.937,1241.745,1472.27,1608.028,1713.578,1635.888,1668.782,835.346,1889.801,1856.176,2066.541,2568.671,2506,2434,2714,3142,2392,3085,3360,3489,3545,3490,2805,3546,3882,3701,3775,4541,4472,4403,3857,4527,4604,4956,4891,5200,5129,6119,6045,6857,6819,4377,7979,8018,10543,4215,10083,10072,8146,12147,8628,10704,7757,8277,13359,18689,21283,21985,23064,24402,18934,19014,16233,17147,18205,21903,21197,24412,28315,27551,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,-6.737,0.37,47.338,56.01,97.247,30,-54.85,,-133.17,,,,,,0,0,1094.757,-46.571,-18.382,-19.346,-12.439,-25,-43,-62,-55,473,-75,-109,67,-120,-106,230,102,25,12,26,20,-291,-81,366,-13,16,64,-1,302,280,14,-90,71,68,2752,76,34,-2353,4346,-1011,-1238,773,-2338,1266,-866,722,-1713,-1854,-3212,-4091,-2452,-1854,-2299,1293,841,1423,1501,-151,610,1007,1033,-1147,896,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.757,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,49,13,31,64,7,105,27,-19,40,16,14,-460,-74,54,26,-355,-5,-92,-188,-49,89,118,99,31,51,106,215,256,26,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188,,,26,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,47,,,,,,,,2736,,,,5071,,,1697,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.571,-18.382,-19.346,-12.439,-25,-43,-62,-55,-27,-75,-109,-43,-120,-55,-36,-71,-60,-101,26,20,-294,-81,-12,-13,16,17,-1,302,280,14,-90,71,19,3,45,-30,-2992,-1068,-1353,-1358,-40,-178,14,678,-183,-405,-111,-1123,-115,-249,-1,-479,441,764,804,176,188,509,503,115,-1831,1024,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,632,238,315,18,117,443,-227,-7,-6,75,135,405,665,523,492,228,-233,-318,-54,-193,-118,-5,-179,45,-104,-128,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.425,155.323,169.46,14.978,310.173,456.456,495.42,549.968,639.833,810.618,976.177,1039.511,1184.733,1351.937,1241.745,1472.27,1608.028,1713.578,1635.888,1668.782,835.346,1889.801,1856.176,2066.541,2568.671,2506,2434,2714,3142,2392,3085,3360,3489,3545,3490,2805,3546,3882,3701,3775,4541,4472,4403,3857,4527,4604,4956,4891,5200,5129,6119,6045,6857,6819,4377,7979,8018,10543,4215,10083,10072,8146,12147,8628,10704,7757,8277,13359,18689,21283,21985,23064,24402,18934,19014,16233,17147,18205,21903,21197,24412,28315,27551,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.171,91.65,90.397,-37.005,106.073,87.263,152.606,168.786,267.625,218.327,255.1,306.15,154.017,349.775,316.625,402.281,401.579,406.492,388.497,378.844,452.904,466.973,371.631,427.566,594.571,551,594,547,599,594,580,631,784,655,657,647,639,354,927,612,659,822,984,933,819,1089,1025,912,277,922,1242,984,1524,1393,853,1247,11038,1142,1020,891,1124,1489,2200,1560,33,921,1318,2112,3462,3353,3460,4128,3760,2498,3012,2323,3523,3154,3535,1508,3725,4653,3932,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.254,63.973,79.063,51.983,204.1,369.193,342.814,381.182,372.208,592.291,721.077,733.361,1030.716,1002.162,925.12,1069.989,1206.449,1307.086,1247.391,1289.938,382.442,1422.828,1484.545,1638.975,1974.1,1955,1840,2167,2543,1798,2505,2729,2705,2890,2833,2158,2907,3528,2774,3163,3882,3650,3419,2924,3708,3515,3931,3979,4923,4207,4877,5061,5333,5426,3524,6732,-3020,9401,3195,9192,8948,6657,9947,7068,10671,6836,6959,11247,15227,17930,18525,18936,20642,16436,16002,13910,13624,15051,18368,19689,20687,23662,23619,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-18,21,182,-454,193,506,198,68,185,-967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-18,21,182,-454,193,506,198,68,185,-967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.254,63.673,79.063,51.983,204.1,369.193,342.814,381.182,372.208,592.291,721.077,733.361,1030.716,1002.162,925.12,1069.989,1206.449,1307.086,1247.391,1289.938,382.442,1422.828,1484.545,1638.975,1974.1,1955,1840,2167,2543,1798,2505,2729,2705,2890,2785,2176,2886,3346,3228,2970,3376,3452,3351,2739,4675,3515,3931,3979,4923,4207,4877,5061,5333,5426,3524,6732,-3020,9401,3195,9192,8948,6657,9947,7068,10671,6836,6959,11247,15227,17930,18525,18936,20642,16436,16002,13910,13624,15051,18368,19689,20687,23662,23619,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.254,63.973,79.063,51.983,204.1,369.193,342.814,381.182,372.208,592.291,721.077,733.361,1030.716,1002.162,925.12,1069.989,1206.449,1307.086,1247.391,1289.938,382.442,1422.828,1484.545,1638.975,1974.1,1955,1840,2167,2543,1798,2505,2729,2705,2890,2785,2176,2886,3346,3228,2970,3376,3452,3351,2739,4675,3515,3931,3979,4923,4207,4877,5061,5333,5426,3524,6732,-3020,9401,3195,9192,8948,6657,9947,7068,10671,6836,6959,11247,15227,17930,18525,18936,20642,16436,16002,13910,13624,15051,18368,19689,20687,23662,23619,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
