JPM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,,,,,,,,,,,,,,,,,,,,,,554,464,635,522,,553,,469,,-138,-115,593,50,10,,231,,,,579,574,,,369,1512,506,1519,721,536,226,602,2483,613,899,955,546,582,586,628,1236,801,1261,782,951,771,1474,952,449,1626,1255,1160,1302,1475,1292,1472,1813,1250,1137,1067,1411,1123,1195,1332,1180,1490,540,900,1392,1007,3292,614,696,1128,9149,960
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520,4493,,4629,5353,4900,5742,5867,5598,5283,5059,4836,5103,4965,4620,5468,5541,5732,5127,5316,6059,5681,8625,8863,8892,8647,9138,8561,9348,9556,9620,9783,10566,10964,9266,10698,10431,11482,9007,11701,13373,13520,13455,12004,16124,14631,14398,16043,15995,16842,15534,14540,18345,14966,15371,16047,15423,15866,23626,15552,14636,15431,15798,15409,14883,14500,15368,14263,13837,13638,14463,13833,15283,14767,14570,14895,16080,15971,15623,15720,16395,16256,16372,16111,16791,16942,16875,16048,18725,17667,17063,17888,19191,18749,19178,19022,20107,20822,21757,24486,22757,23713,22565
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2742,2934,,3380,3074,2687,2764,1185,2208,1063,1545,273,1742,1788,491,1106,2122,2867,2430,2709,2903,2715,3044,2930,4328,3314,3882,3697,4604,5037,4968,5352,6764,6415,5061,4144,2035,3462,-57,-1788,3056,4072,5063,3876,4537,7107,6203,7012,8057,8127,5818,4747,6981,7000,7986,6950,9082,9298,34,7500,7729,8555,7914,6501,8224,8377,6730,7371,7578,9340,8939,8679,8341,9749,9556,8254,10662,10572,10689,8841,11233,11342,11405,10886,3210,5660,11769,15176,17697,15097,14111,12657,10063,10865,12001,13237,15967,17586,16733,11326,17293,23435,16978
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5329,,-4932,-4783,,-4993,-5178,,,-6102,-6315,-7326,-7223,-7659,-8294,-8994,-13832,,,,,,,,-12102,,-11836,,-12131,-11666,-11146,-10976,-11122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4703,4543,,4854,5101,5360,10970,6028,5803,5277,4644,4077,3733,3740,3577,3371,3367,3201,3396,3559,2924,2980,6372,6643,7101,7459,7903,8531,9238,10013,10177,10652,10532,10704,11512,12403,11076,10288,10324,15453,11766,10417,9910,9303,11152,10596,10551,10395,10299,10046,10078,9907,9975,9745,9763,5052,9270,9023,9202,8548,8893,8757,8610,8678,8829,8747,9037,9271,9776,9920,10160,10574,11296,11955,12922,12658,13869,14677,15488,15810,16094,16001,15851,14883,14121,11385,10557,10578,10408,10333,10777,11104,11181,13421,19185,24857,27374,31128,33617,36124,35641,35955,50416
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3790,,,,,,,71,86,48,100,62,64,,22,,155,96,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2742,2934,,3357,3074,2496,2764,1090,1880,585,669,-568,1487,1559,60,-587,2122,2767,2430,2709,2903,-1075,1959,2407,3283,1163,3661,3828,4564,5211,4937,5533,7332,6351,5000,4122,3535,2767,-2187,-1342,3056,4072,5063,3876,4537,7107,6203,7012,8057,8127,5818,4747,6981,7000,7986,6950,9082,9298,34,7500,7729,8555,7914,6501,8224,8377,6730,7371,7578,9340,8939,8679,8341,9749,9556,8254,10662,10572,10689,8841,11233,11342,11405,10886,3210,5660,11769,15176,17697,15097,14111,12657,10063,10865,12001,13237,15967,17586,16733,11326,17293,23435,16978
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-71,,-72,0,191,,95,328,478,876,841,255,229,431,1693,0,100,0,0,0,3790,1085,973,1045,2151,221,-131,401,-174,31,178,-568,64,61,22,-2197,130,1876,1429,-970,1514,458,567,2899,96,2252,2047,1185,1833,106,1108,2331,-351,70,2057,258,388,9715,1126,53,496,727,1148,687,291,1347,-384,-46,-630,-71,230,218,16,-107,-207,70,0,20,-18,-81,69,10,241,197,118,524,276,28,185,76,137,643,291,78,90,329,384,604,277,-57,404,368
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,792,1500,2208,1100,1900,1300,600,2700,323,790,1200,347,678,9300,800,,669,1100,1100,687,291,1347,-384,-46,-430,-71,230,218,16,-107,-207,70,,20,-18,-81,69,10,241,197,118,524,276,28,185,76,137,119,73,47,27,176,420,665,175,-72,317,259
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,67,142,,114,124,578,,264,768,513,,432,460,522,569,-45,70,-44,,-116,-502,40,35,2,-223,237,148,33,647,424,456,198,347,184,381,610,1000,102,1253,102,837,607,47,536,1014,458,102,509,124,26,8,30,12,6,29,52,44,33,73,51,21,64,5,-3,-34,-1,-28,-245,-80,-46,-24,13,44,78,123,233,26,473,70,14,-155,-256,52,-394,-153,-959,-874,-868,-900,-669,-743,-366,-547,-16
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,,,,,,,,,,,-1100,,,280,,,,,,,,,,,,,,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2742,2934,,3357,3074,2496,2764,1090,1880,585,669,-568,1487,1559,60,-587,2122,2767,2430,2709,2903,-1075,1959,2407,3283,1163,3661,3828,4564,5211,4937,5533,7332,6351,5000,4122,3535,2767,-2187,-1342,3056,4072,5063,3876,4537,7107,6203,7012,8057,8127,5818,4747,6981,7000,7986,6950,9082,9298,34,7500,7729,8555,7914,6501,8224,8377,6730,7371,7578,9340,8939,8679,8341,9749,9556,8254,10662,10572,10689,8841,11233,11342,11405,10886,3210,5660,11769,15176,17697,15097,14111,12657,10063,10865,12001,13237,15967,17586,16733,11326,17293,23435,16978
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,1037,,1155,1086,863,1059,382,656,207,220,-236,505,531,20,-200,722,940,802,845,973,-527,541,741,1019,226,1192,1186,1537,1727,1705,1627,2545,2117,1627,1151,1162,764,-2133,-719,915,1351,1551,598,1211,2312,1785,2181,2502,2696,1556,1019,2057,2040,2278,1258,2553,2802,414,2222,2460,2575,2349,1570,2310,2087,-74,1937,2058,3140,2653,1952,1893,2720,2824,4022,1950,2256,2309,1775,2054,1690,2325,2366,345,973,2326,3040,3397,3149,2424,2258,1781,2216,2264,2229,3345,3114,3582,2019,3874,5286,4080
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773,1897,,2202,1988,1633,2055,708,1224,378,449,-332,982,1028,40,-387,1400,1827,1628,1864,1930,-548,1418,1666,2264,937,2469,2642,3027,3484,3232,3906,4787,4234,3373,2971,2373,2003,-54,-623,2141,2721,3512,3278,3326,4795,4418,4831,5555,5431,4262,3728,4924,4960,5708,5692,6529,6496,-380,5278,5269,5980,5565,4931,5914,6290,6804,5434,5520,6200,6286,6727,6448,7029,6732,4232,8712,8316,8380,7066,9179,9652,9080,8520,2865,4687,9443,12136,14300,11948,11687,10399,8282,8649,9737,11008,12622,14472,13151,9307,13419,18149,12898
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,25,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,-57,-58,-56,-54,-56,-65,-620,0,0,0,0,0,,-581,-1325,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773,1897,,2202,1988,1633,1705,708,1199,378,449,-332,982,1028,40,-387,1400,1827,1628,1864,1930,-548,1418,1666,2264,994,2527,2698,3081,3540,3297,4526,4787,4234,3373,2971,2373,2003,527,702,2141,2721,3588,3278,3326,4795,4418,4831,5555,5431,4262,3728,4924,4960,5708,5692,6529,6496,-380,5278,5269,5980,5565,4931,5914,6290,6804,5434,5520,6200,6286,6727,6448,7029,6732,4232,8712,8316,8380,7066,9179,9652,9080,8520,2865,4687,9443,12136,14300,11948,11687,10399,8282,8649,9737,11008,12622,14472,13151,9307,13419,18149,12898
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773,1897,,2202,1988,1633,2055,708,1199,378,449,-332,982,1028,40,-387,1400,1827,1628,1864,1930,-548,1418,1666,2264,994,2527,2698,3081,3540,3297,4526,4787,4234,3373,2971,2373,2003,527,702,2141,2721,3588,3278,3326,4795,4418,4831,5555,5431,4262,3728,4924,4960,5708,5692,6529,6496,-380,5278,5269,5980,5565,4931,5914,6290,6804,5434,5520,6200,6286,6727,6448,7029,6732,4232,8712,8316,8380,7066,9179,9652,9080,8520,2865,4687,9443,12136,14300,11948,11687,10399,8282,8649,9737,11008,12622,14472,13151,9307,13419,18149,12898
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,,25,25,26,,21,21,19,13,13,13,13,13,12,13,12,38,13,13,13,13,,5,3,3,2,4,0,0,0,0,0,0,0,0,90,161,423,529,473,163,162,162,163,160,157,157,158,157,157,157,158,163,175,182,204,229,190,227,268,304,326,324,380,393,418,412,411,412,412,412,411,412,428,409,379,379,384,374,404,423,386,421,401,381,380,379,393,402,426,397,410,432,356,356,373,386,386,397,317,286
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,,,0,0,,0,0,0,,0,0,0,0,0,0,93,1176,185,164,190,269,239,262,262,206,169,146,190,168,199,195,216,191,41,150,149,144,133,117,138,134,141,108,62,61,62,65,61,63,58,30,65,57,53,41,52,56,51,43,13,21,47,57,70,59,56,46,40,44,50,54,73,88,80,51,80,114,75
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,1870,,2177,1963,1607,2055,687,1178,359,436,-345,969,1015,27,-399,1387,1815,1590,1851,1917,-561,1405,1666,2259,991,2524,2696,3077,3540,3297,4526,4787,4234,3373,2971,2373,1913,366,279,1519,1072,3240,2952,2974,4363,4019,4412,5136,5067,3936,3425,4577,4634,5346,5322,6131,6101,-650,4938,4893,5568,5128,4488,5452,5776,6270,4908,5046,5728,5812,6250,5975,6555,6262,3774,8238,7880,7948,6641,8753,9192,8606,8091,2431,4265,9015,11699,13851,11496,11229,9927,7845,8195,9255,10598,12193,14011,12685,8870,12942,17718,12537
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,1870,,2177,1963,1607,2055,687,1178,359,436,-345,969,1015,27,-399,1387,1815,1590,1851,1917,-561,1405,1666,2259,991,2524,2696,3077,3540,3297,4526,4787,4234,3373,2971,2373,1913,366,279,1519,1072,3240,2952,2974,4363,4019,4412,5136,5067,3936,3425,4577,4634,5346,5322,6131,6101,-650,4938,4893,5568,5128,4488,5452,5776,6270,4908,5046,5728,5812,6250,5975,6555,6262,3774,8238,7880,7948,6641,8753,9192,8606,8091,2431,4265,9015,11699,13851,11496,11229,9927,7845,8195,9255,10598,12193,14011,12685,8870,12942,17718,12537
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,604,,,,1100.45,,,,,,,,650,,,,,,,,,,,,,,,,,-630.5,984.1,297.7,368.55,1884.35,62.4,1463.8,1330.55,770.25,1191.45,68.9,720.2,1525.598,-195.86,88.754,1312.381,167.7,252.2,6314.75,608.5,34.45,387.55,472.55,1021.2,487,189.15,875.55,-249.6,-29.9,-409.5,-46.15,149.5,141.7,10.4,-69.55,1765.45,55.3,0,15.8,-14.22,-63.99,-713.49,7.9,958.39,155.63,93.22,413.96,218.04,22.12,146.15,60.04,108.23,481.54,229.89,61.62,71.1,259.91,303.36,477.16,218.83,-45.03,319.16,290.72
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,25,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,-57,-58,-56,-54,-56,-65,-620,0,0,0,0,0,,-581,-1325,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941.4005,1926.4005,,1880.1,1852.9995,1853.1,,1924.8,1966.6,1978.4,1975.3,1969.6,1978.2,1982.6,1986,1935,1999.8,2005.6,2012.2,2016.2,2032.3,2042.8,3513.5,3514.7,3517.5,3493,3485,3472,3472.7,3473.8,3468.6,3466.81,3456.4,3415.1,3375.9,3367.1,3396,3426.2,3444.6,3737.5,3755.7,3811.5,3937.9,3946.1,3970.5,3983.5,3954.3,3917,3981.6,3958.4,3859.6,3801.9,3818.8,3808.9,3803.3,3806.7,3818.2,3782.4,3767,3762.1,3787.2,3780.6,3755.4,3730.9,3725.3,3707.8,3694.4,3674.2,3710.6,3675.5,3637.7,3611.3,3601.7,3574.1,3534.7,3489.7,3458.3,3415.2,3376.1,3335.8,3298,3250.6,3198.5,3138.9,3095.8,3076.3,3077.8,3079.7,3073.5,3036.6,2999.9,2977.3,2977,2962.2,2961.2,2962.9,2968.5,2943.8,2927.5,2914.4,2908.3,2889.8,2860.6
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.97,,1.16,1.06,0.87,11.16,0.36,0.6,0.18,0.22,-0.18,0.49,0.51,0.01,-0.2,0.69,0.9,0.8,0.92,0.94,-0.27,0.4,0.47,0.64,0.28,0.72,0.78,0.89,1.02,0.95,1.31,1.38,1.24,1,0.86,0.7,0.56,0.11,0.07,0.4,0.28,0.82,0.75,0.75,1.1,1.02,1.13,1.29,1.28,1.02,0.9,1.2,1.22,1.41,1.4,1.61,1.61,-0.17,1.31,1.29,1.47,1.37,1.2,1.46,1.56,1.7,1.34,1.36,1.56,1.6,1.73,1.66,1.83,1.77,1.08,2.38,2.31,2.35,1.99,2.65,2.83,2.69,2.5777,0.79,1.39,2.93,3.8,4.51,3.79,3.74,3.33,2.64,2.77,3.13,3.58,4.11,4.76,4.33,3.04,4.45,6.13,4.38
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.97,,1.16,1.06,0.87,11.16,0.36,0.61,0.18,0.22,-0.18,0.49,0.51,0.01,-0.2,0.69,0.9,0.8,0.92,0.94,-0.27,0.4,0.47,0.64,0.27,0.71,0.76,0.87,1,0.93,1.13,1.38,1.24,1,0.86,0.7,0.56,-0.06,-0.28,0.4,0.28,0.8,0.75,0.75,1.1,1.02,1.13,1.29,1.28,1.02,0.9,1.2,1.22,1.41,1.4,1.61,1.61,-0.17,1.31,1.29,1.47,1.37,1.2,1.46,1.56,1.7,1.34,1.36,1.56,1.6,1.73,1.66,1.83,1.77,1.08,2.38,2.31,2.35,1.99,2.65,2.83,2.69,2.5777,0.79,1.39,2.93,3.8,4.51,3.79,3.74,3.33,2.64,2.77,3.13,3.58,4.11,4.76,4.33,3.04,4.45,6.13,4.38
