V US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,290,356,418,273,262,325,396,294,315,364,350,307,278,365,334,292,276,354,402,299,303,360,365,294,365,354,394,331,331,361,396,350,350,435,530,404,599,451,528,459,483,470,721,552,505,597,647,587,504,432,544,408,569,472,672,522,639,602,767,654,591,611,815,633,790,760,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,215,271,320,210,196,229,283,216,238,277,233,197,183,251,239,190,170,242,271,193,195,252,236,186,245,228,241,205,190,224,253,194,186,189,300,218,193,221,290,223,261,240,264,276,241,282,306,274,235,174,288,205,206,268,457,280,314,313,429,332,309,297,403,293,338,378,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,66,96,113,78,77,87,117,110,95,114,95,102,106,112,131,106,108,108,129,108,120,126,153,126,141,137,143,156,164,246,230,186,406,230,238,236,222,230,457,276,264,315,341,313,269,258,256,203,363,204,215,242,325,289,338,322,282,314,412,340,452,382,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,448,442,553,387,460,465,576,498,514,538,610,557,616,4734,718,655,697,712,751,677,643,672,1171,693,672,765,773,699,721,2647,965,811,939,958,968,931,1101,1733,1144,1078,1188,1170,1583,1269,1234,1209,1219,1238,1378,1390,1370,1563,1541,2295,1707,1965,1824,2253,1997,1800,2382,1938,
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,641,648,685,966,881,822,869,1217,1122,1137,1113,1366,1383,1345,1362,1618,1606,-2607,1522,1800,1860,1828,1751,2077,2048,2020,1552,2238,2281,2262,2283,2396,2434,428,2625,3100,2808,3024,3212,3327,3336,2885,3406,3717,3641,3908,3735,4016,3924,2999,3142,3844,3581,4064,4315,4776,4802,4148,5087,5090,5336,5024,5550,5954,5354,5938,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,-6,-475,6,9,9,15,-82,-16,6,-198,8,1,-3,0,-66,-1,3,-5,-15,-6,-13,-10,2,-24,-1,94,0,-243,-7,6,115,121,106,110,113,88,119,73,-132,87,-36,42,24,42,95,67,87,96,-47,-325,17,-121,260,319,219,113,58,-122,-86,-88,-159,-51,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,125,,,,159,,142,182,183,,82,196,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,41,30,27,30,30,30,25,16,28,13,15,,12,11,13,10,7,11,,,,,,0,,,,,,,,29,132,131,135,140,135,140,148,154,153,155,150,145,140,128,120,111,118,142,145,136,121,131,125,134,134,111,159,137,142,182,183,187,82,196,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,0,0,0,,0,0,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19,-34,-504,-18,-5,-23,-1,-20,-10,-9,-88,-1,-10,-9,-12,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-247,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,-1,-2,4,3,-77,-2,3,-121,-4,1,-1,1,-4,-1,3,-5,-15,-6,-13,-10,2,-24,-1,102,0,-272,-139,-125,-20,-19,-29,-30,-35,-66,-34,-82,-282,-58,-176,-86,-96,-69,-23,-75,-58,-40,-168,-456,-108,-255,126,208,60,-24,-84,-304,-269,-275,-241,0,
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,370,714,-431,953,887,1297,863,1208,1113,1122,1195,1382,1377,1543,1354,1617,1609,-2607,1588,1801,1857,1833,1766,2083,2061,2030,1550,2262,2282,2168,2283,2639,2441,422,2510,2979,2702,2914,3099,3239,3217,2812,3538,3630,3677,3866,3711,3974,3829,2932,3055,3748,3628,4389,4298,4897,4542,3829,4868,4977,5278,5146,5636,6042,5513,5989,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,309,11,1196,28,9,-463,41,-43,2,0,-4,0,6,-85,1,0,0,4098,2,3,1,-1,0,0,0,0,453,0,3,110,11,-255,-115,2071,111,15,2,0,2,0,0,600,7,11,22,1,370,-11,15,-46,4.443,-12,-148,-436,-92,-76,207,976,150,470,112,396,123,26,537,63,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-116,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-473,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,-43,2,,-4,,6,,1,,,4098,2,3,1,-1,,,,,453,,3,,11,,1,,1,15,2,,2,,,600,7,7,22,1,370,,8,1,2,1,3,-2,1,145,,716,3,341,,457,109,9,424,13,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,-13,2,-51,-39,-16,-156,-439,-101,-231,127,246,122,106,90,-85,-7,-4,30,22,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,110,,-255,,,,,,,,,,,,,,,,,,,35.443,,,,,,60,,,,,,,,57,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,370,714,-431,953,887,1297,863,1208,1113,1122,1195,1382,1377,1543,1354,1617,1609,-2607,1588,1801,1857,1833,1766,2083,2061,2030,1550,2262,2282,2168,2283,2639,2441,422,2510,2979,2702,2914,3099,3239,3217,2812,3538,3630,3677,3866,3711,3974,3829,2932,3055,3748,3628,4389,4298,4897,4542,3829,4868,4977,5278,5146,5636,6042,5513,5989,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,56,292,-75,379,352,568,349,445,401,406,422,498,497,539,476,590,317,-768,-74,508,587,608,574,676,463,670,477,693,732,471,771,698,734,10,579,909,2272,855,959,717,612,483,693,653,700,765,686,702,745,559,918,622,602,1814,714,938,895,418,928,798,1021,990,955,1152,850,1117,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,314,422,-356,574,535,729,514,763,712,716,773,884,880,1004,878,1027,1292,-1839,1662,1293,1270,1225,1192,1407,1598,1360,1073,1569,1550,1697,1512,1941,1707,412,1931,2070,430,2059,2140,2522,2605,2329,2845,2977,2977,3101,3025,3272,3084,2373,2137,3126,3026,2575,3584,3959,3647,3411,3940,4179,4257,4156,4681,4890,4663,4872,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,314,422,-356,574,535,729,514,763,712,716,773,884,880,1004,878,1027,1292,-1839,1662,1293,1270,1225,1192,1407,1598,1360,1073,1569,1550,1697,1512,1941,1707,412,1931,2070,430,2059,2140,2522,2605,2329,2845,2977,2977,3101,3025,3272,3084,2373,2137,3126,3026,2575,3584,3959,3647,3411,3940,4179,4257,4156,4681,4890,4663,4872,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,-1,,,,-1,0,-1,0,-1,-1,-2,-2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,314,422,-356,574,536,729,514,763,713,716,774,884,881,1005,880,1029,1292,-1839,1662,1293,1270,1225,1192,1407,1598,1360,1073,1569,1550,1697,1512,1941,1707,412,1931,2070,430,2059,2140,2522,2605,2329,2845,2977,2977,3101,3025,3272,3084,2373,2137,3126,3026,2575,3584,3959,3647,3411,3940,4179,4257,4156,4681,4890,4663,4872,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,314,422,-356,574,536,729,514,763,713,716,774,884,881,1005,880,1029,1292,-1839,1662,1293,1270,1225,1192,1407,1598,1360,1073,1569,1550,1697,1512,1941,1707,412,1931,2070,430,2059,2140,2522,2605,2329,2845,2977,2977,3101,3025,3272,3084,2373,2137,3126,3026,2575,3584,3959,3647,3411,3940,4179,4257,4156,4681,4890,4663,4872,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,314,422,-356,574,536,729,514,763,713,716,774,884,881,1005,880,1029,1292,-1839,1662,1293,1270,1225,1192,1407,1598,1360,1073,1569,1550,1697,1512,1941,1707,412,1931,2070,430,2059,2140,2522,2605,2329,2845,2977,2977,3101,3025,3272,3084,2373,2137,3126,3026,2575,3584,3959,3647,3411,3940,4179,4257,4156,4681,4890,4663,4872,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5556,5.85,-230.5,26.65,-27.95,1.3,0,-2.6,0,3.9,-44,0.65,0,0,2894,-625.7,1.95,0.65,-0.65,0,0,0,0,283,0,1.95,-129,7.15,-255,-80.35,1314,-15.35,9.75,1516.3,0,1.3,14,0,463,5.53,8.53,17.38,0.79,287,-8,11.32,-35.21,332.58,-9.21,-123.63,669.42,-72.21,-68,173,761,119.37,368,91,311,99,24.11,421,50,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.322,3110.952,3104.36,3094.716,3372,3380,3384,3380,3368,3356,3352,3340,3332,3320,3300,3248,3244,3244,3240,3232,3224,3188,3152,3124,3108,3088,9012,3044,3044,2228,2220,1948,2202,2173,2162,2140,2122,2114,2099,2084,2069,2055,2041,2031,2017,2005,1992,1980,1969,1959,1946,1941,1950,1951,1946,1940,1924,1909,1642,1638,1629,1624,1614,1603,1584,1579,1810,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1375,0.0975,0.1275,-0.1125,0.1702,0.1586,0.2154,0.1521,0.2265,0.2125,0.2136,0.2317,0.2653,0.2654,0.3045,0.2709,0.3172,0.3983,-0.5676,0.5142,0.4011,0.3984,0.3886,0.3816,0.4527,0.5175,0.1509,0.3525,0.5154,0.6957,0.7644,0.7762,0.8815,0.7856,0.1906,0.9023,0.9755,0.2034,0.9809,1.0269,1.2189,1.2676,1.1411,1.4008,1.476,1.4848,1.5567,1.5278,1.6618,1.5743,1.2194,1.101,1.6031,1.551,1.3232,1.8474,2.0577,1.9104,2.0773,2.4054,2.5654,2.6213,2.575,2.9202,3.0871,2.9531,2.6917,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1375,0.0975,0.1275,-0.1125,0.1702,0.1586,0.2154,0.1521,0.2265,0.2125,0.2136,0.2317,0.2653,0.2654,0.3045,0.2709,0.3172,0.3983,-0.5676,0.5142,0.4011,0.3984,0.3886,0.3816,0.4527,0.5175,0.1509,0.3525,0.5154,0.6957,0.7644,0.7762,0.8815,0.7856,0.1906,0.9023,0.9755,0.2034,0.9809,1.0269,1.2189,1.2676,1.1411,1.4008,1.476,1.4848,1.5567,1.5278,1.6618,1.5743,1.2194,1.101,1.6031,1.551,1.3232,1.8474,2.0577,1.9104,2.0773,2.4054,2.5654,2.6213,2.575,2.9202,3.0871,2.9531,2.6917,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1375,0.13,0.1275,0.12,0.1748,0.1603,0.1473,0.16,0.2182,0.2128,0.2136,0.231,0.2653,0.2665,0.2912,0.2711,0.3172,0.3983,0.3256,0.3206,0.4017,0.3986,0.3884,0.3816,0.4527,0.5175,0.1509,0.4455,0.5154,0.6966,0.7063,0.7799,0.7657,0.7486,0.7983,0.8952,0.9801,0.9207,0.9809,1.0275,1.2257,1.2676,1.368,1.4035,1.4802,1.4935,1.5571,1.6727,1.6577,1.5801,1.2013,1.2723,1.5984,1.4876,1.6672,1.8102,2.0223,2.001,2.5408,2.4782,2.7913,2.6773,2.7677,2.9819,3.1023,3.2198,2.7193,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.322,3110.952,3104.36,3094.716,4680,4616,4620,4524,4476,4436,4328,4296,4232,4156,4032,3944,3924,3852,3828,3808,3776,3732,3696,3664,3644,3620,11128,3568,3544,2725,2713,2440,2695,2665,2649,2702,2683,2666,2644,2627,2611,2594,2578,2563,2548,2536,2522,2509,2496,2484,2470,2464,2456,2449,2439,2430,2414,2397,2129,2116,2102,2093,2080,2065,2045,2039,2229,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1375,0.0975,0.1275,-0.1125,0.1226,0.1161,0.1578,0.1136,0.1705,0.1607,0.1654,0.1802,0.2089,0.212,0.2493,0.2231,0.2622,0.3354,-0.5676,0.4364,0.3424,0.3403,0.3314,0.3253,0.25,0.4414,0.1222,0.3007,0.4427,0.6826,0.7505,0.6197,0.7202,0.6405,0.1555,0.7147,0.7715,0.1613,0.7787,0.8146,0.9659,1.0042,0.9034,1.11,1.1684,1.1739,1.2296,1.2057,1.3109,1.2415,0.9607,0.8673,1.2728,1.2356,1.0558,1.4749,1.64,1.5215,1.6022,1.862,1.9881,2.0339,1.9981,2.2668,2.3912,2.2869,2.1857,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1375,0.0975,0.1275,-0.1125,0.1226,0.1161,0.1578,0.1136,0.1705,0.1607,0.1654,0.1802,0.2089,0.212,0.2493,0.2231,0.2622,0.3354,-0.5676,0.4364,0.3424,0.3403,0.3314,0.3253,0.25,0.4414,0.1222,0.3007,0.4427,0.6826,0.7505,0.6197,0.7202,0.6405,0.1555,0.7147,0.7715,0.1613,0.7787,0.8146,0.9659,1.0042,0.9034,1.11,1.1684,1.1739,1.2296,1.2057,1.3109,1.2415,0.9607,0.8673,1.2728,1.2356,1.0558,1.4749,1.64,1.5215,1.6022,1.862,1.9881,2.0339,1.9981,2.2668,2.3912,2.2869,2.1857,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1375,0.13,0.1275,0.12,0.126,0.1174,0.1079,0.1195,0.1642,0.161,0.1654,0.1796,0.2089,0.2129,0.2383,0.2233,0.2622,0.3354,0.1884,0.2721,0.3429,0.3405,0.3313,0.3253,0.25,0.4414,0.1222,0.38,0.4427,0.6833,0.7029,0.6226,0.6256,0.6104,0.6516,0.709,0.7752,0.73,0.7787,0.8151,0.9713,1.0042,1.083,1.1122,1.1717,1.1807,1.2299,1.32,1.3077,1.2461,0.9465,1.0023,1.2691,1.1851,1.3302,1.4452,1.6118,1.5937,1.9596,1.9184,2.1632,2.0774,2.1476,2.3148,2.403,2.4934,2.2082,
