TM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48222,-41027,-176430,39442,16516,-60783,27742,7627,-80718,-33749,-33560,20998,-25920,-108551,9914,68618,-50200,-10378,83922,114507,34249,-3847,54360,8844,-20046,65843,90576,-71294,24107,-82372,3628,-145234,-120192,-25175,131812,69,889,18438,11905,-74820,9587,27346,-50637,-27937,-60337,-30114,61952,-112508,32319,-15609,23756,179779,17901,-997,88934,228357,331904,58728,-297347,10020,241175,-12602,-352859,314200,219765,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280059,-57992,-121108,714774,245094,-36869,-516946,-269813,530693,-477071,-140071,301412,51302,-376007,-222426,145622,49088,-62866,-423923,476798,-192010,217016,100090,197777,133882,134270,88844,-113609,3097,403197,-204601,453178,334830,-507254,-216218,444289,-54246,-126492,-67676,318727,-52020,215246,-88938,412588,237203,186820,-179092,250714,2703111,-1287124,-1034445,620864,-87430,-58593,815391,343430,571357,295157,-958080,1494877,389481,19616,-342909,1828906,-1814966,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312802,79773,326018,58929,204007,110523,210583,285004,255863,181325,213329,159246,692736,244686,339550,20252,428464,209719,393515,92624,1186473,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578294,233615,-689131,-10455,341114,897651,362999,352230,622198,320865,71821,379799,143910,34378,129218,421392,519402,368659,289629,419065,789892,722646,549010,614466,611179,562557,410254,955445,745094,580999,802634,1049585,218147,-434865,-232160,321678,199875,66309,-43720,401957,-203717,107668,110410,13349,-326871,37984,-404146,-350055,-71792,-208667,-435281,-46596,-115614,29796,44256,280018,-68479,62878,-670266,273391,263489,-131851,-635737,-3635,-750143,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587113.485,240363.3518,-681410.7623,,,,366513.5487,357587.9876,626007.3838,324543.8766,75022.2482,378905.2638,145686.9751,39568.1767,129924.7711,424747.5118,523040.5681,372817.7733,292642.48,421601.3446,793145.8631,725910.6111,552884.7051,617510.0903,613774.6532,566351.979,415005.4808,960361.8739,748096.4165,591692.6361,809544.425,1054059.2093,221704.2895,-430745.8476,-226141.7977,329087.6916,203065.4894,72444.4381,-38233.7695,406733.5125,-201318.1671,113305.6583,119005.6372,18481.6479,-319568.7982,47093.6336,-395146.6459,-339160.9975,-63874.5515,-198232.6526,-427786.296,-35943.2195,-110098.473,36186.02,51139.9198,292038.5719,-54110.2171,91825.8865,-642955.8419,284504.2814,281488.0304,-116480.552,-609758.2054,12502.9919,-738117.2248,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145286,198920,-54717,79639,369195,386179,855368,300470,1044568,238427,257749,509345,-17619,59140,367133,195763,738143,456933,386347,764871,1061222,1269984,862581,890781,947328,963201,824236,1124274,1081682,1621894,911374,741605.6,887513,-143898,683759,757023,746469,458926,660338,729774,812427,659296,356765,368865,23435,456530,458856,471849,2691650,-115380,393771,881266,-958656,545369,367667,563754,834769,307995,130153,1203778,1183231,1160478,1459067,1559869,231994,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6375,4.1557,,,,46.21,3.1546,4.5195,4.0274,4.648,2.2322,23.1993,272.7164,2.1513,3.4757,5.6326,2.4202,2.0815,5.0711,2.2457,1.8309,2.1389,1.4462,3.094,1.4897,1.439,1.1438,3.0195,1.7379,1.3636,1.765,3.2699,2.1326,1.0062,1.2063,3.1449,1.7492,2.1077,0.8554,2.8686,1.2536,1.7129,5.7518,1.958,1.0513,1.7148,0.794,1.2038,4.2385,1.3097,0.6493,1.1491,1.0681,1.4583,0.9709,2.025,1.037,2.0603,0.2296,2.0445,1.0357,0.7197,0.3742,1.4235,0.5127,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347740,3485820,3697897,4574840,4021134,3865547,4186777,3980830,4092939,4131302,4386059,4684460,,4515349,4644062,4881799,4981785,4971375,5333387,5750362,5638112,5833777,6146584,6329618,6522637,6489572,6709983,6567048,6215130,5975275,4802843,3536322,3836077,4541566,5292890,5280440,4871825,4806667,4673113,4642083,3441050,4574872,4865205,5702526,5501573,5406781,5318752,5837086,6255319,6282166,6585044,6569382,6390688,6554909,7170017,7118907,6987648,7103840,7339882,6971748,6589113,6481420,7084187,7442473,7047606,7143601,7605767,7582536,7362733,7311273,7801542,7750133,7721273,7637004,7608931,6899339,4600796,6774427,8150033,7689337,7935557,7545741,7785742,8112466,8491116,9218232,9754685,9690265,10546831,11434786,12041103,11072605,11837880,,,,,,,,,,,,,,,,,,,,,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5858843,5604867,4465104,3244906,3521081,4234824,4990932,4977892,4567522,4516137,4379795,4357066,3162347,4310812,4601657,5437100,5233688,5142201,5024823,5513438,5926535,5945468,6229811,6210830,6023590,6163804,6742115,6683327,6527733,6634883,6865988,6520507,6159004,6057702,6617000,6979790,6578122,6655852,7101556,7084746,6853963,6784867,7257438,7209070,7177564,7099592,7061014,6355523,4069855,6247300,7605418,7154825,7362417,6982507,7204419,7524084,7844455,8519475,9019920,8983769,9785454,10597988,11128325,10136363,10845224,,,,,,,,,,,,,,,,,,,,,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2534759,2696919,2768935,3518167,3040674,2892811,3170773,3051883,3248972,3216753,3462316,3942473,,3591458,3774923,3955954,4006072,3975140,4292246,4671486,4537807,4682540,4942565,5065482,5249253,5312625,5455108,5503367,5174083,5161117,4507564,3613036,3552815,4024109,4560905,4545968,4142080,4241571,4094967,4086708,3136867,4052175,4254635,4944887,4672832,4577503,4598056,4792604,5022253,5100331,5347193,5331362,5095175,5252370,5717789,5776342,5557165,5550373,5886942,5610985,5279226,5311425,5967667,6176018,5753063,5863019,6198150,6074921,5988151,5996006,6348161,6449467,6269145,6285412,6226756,5704038,4051368,5626280,6493330,6211242,6285919,6106788,6259742,6755385,7099967,7794503,7821392,8125420,8483927,9064850,9355813,8822417,9409434,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4989767,4914066,4155015,3409568,3368860,3843534,4390531,4368571,3972408,4071186,3954671,3937518,2975331,3908557,4126047,4785983,4540873,4444403,4435517,4589776,4802456,4903970,5133757,5148062,4896086,5029490,5476153,5514633,5248790,5269997,5606359,5330940,5013808,5043030,5636630,5849567,5442731,5547092,5869991,5740660,5639996,5650630,5995359,6103510,5927739,5973620,5866014,5336223,3726300,5351939,6211206,5910445,6014841,5828074,5975051,6432818,6700127,7349121,7385754,7693559,8040979,8501716,8802750,8255167,8774492,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812981,788901,928962,1056673,980460,972736,1016004,928947,843967,914549,923743,741987,,923891,869139,925845,975713,996235,1041141,1078876,1100305,1151237,1204019,1264136,1273384,1176947,1254875,1063681,1041047,814158,295279,-76714,283262,517457,731985,734472,729745,565096,578146,555375,304183,522697,610570,757639,828741,829278,720696,1044482,1233066,1181835,1237851,1238020,1295513,1302539,1452228,1342565,1430483,1553467,1452940,1360763,1309887,1169995,1116520,1266455,1294543,1280582,1407617,1507615,1374582,1315267,1453381,1300666,1452128,1351592,1382175,1195301,549428,1148147,1656703,1478095,1649638,1438953,1526000,1357081,1391149,1423729,1933293,1564845,2062904,2369936,2685290,2250188,2428446,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521624,573677,621179,747565,585942,636427,636568,675532,503195,487552,522050,244559,,506262,446239,542807,570585,591872,558930,492236,587886,570231,629230,693668,597957,580210,653317,667028,628456,644681,655830,605814,478125,459453,542876,639206,518082,453639,479076,509286,412146,447307,460886,519123,475598,488671,595939,542101,569683,589743,637342,801892,602785,643321,689348,706827,674482,726063,730674,812463,667657,695360,677934,827534,720249,758335,733972,877939,691895,736109,777252,771095,711517,692985,742078,835384,535508,642086,668762,788269,652149,688977,741630,893219,812494,860940,976641,937915,942004,931542,1004346,1137492,1119984,,,,,,,,,,,,,,,,,,,,,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570585,,,,,,,,,,,,394256,401181,440430,394839,273325,265253,353276,502461,335182,266039,299976,328546,225646,256507,270586,306917,278198,278671,397339,340647,325583,356943,410642,594975,357685,399021,436348,444680,408782,461963,460374,556891,393557,437060,416434,583906,441649,540735,469672,628670,423395,477509,502852,523713,414117,406085,453578,597917,254408,355286,402962,531245,378050,412978,446829,613858,510294,539256,677841,615728,647203,617543,715147,833217,815384,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234200,243500,215400,210975,204800,194200,189600,136745,182900,187600,179100,180740,186500,190800,190300,212206,197400,210000,198600,201454,244100,232800,226700,206917,245100,244300,253000,262147,265700,264100,270300,255572,274100,258300,261500,243628,278600,217600,264300,249269,268500,258600,274400,247382,297400,286900,288500,237469,281100,286800,265800,257024,274100,276000,294800,279362,302200,321684,298800,322186,294800,314000,289200,304273,304600,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-1,-1,1,-1,0,0,0,1,1,-1,-1,2,0,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291357,215224,307783,309111,394518,336309,379436,253415,340772,426997,401693,497428,,417629,422900,383038,405128,404363,482211,586640,512419,581006,574789,570469,675427,596737,601558,396653,412591,169477,-360551,-682528,-194863,58004,189109,95266,211663,111457,99070,46089,-107963,75390,149684,238516,353143,340607,124757,502381,663383,592092,600509,436128,692728,659218,762880,635738,756001,827404,722266,548300,642230,474635,438586,438921,574294,522247,673645,629676,682687,579158,676129,529571,740611,658607,640097,359917,13920,506061,987941,689826,997489,749976,784370,463862,578655,562789,956652,626930,1120900,1438394,1680944,1112696,1308462,,,,,,,,,,,,,,,,,,,,,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12915,,,,,,,,,,,,,,,,,,,-40463,-13956,-78412,232201,-56355,-17529,-35778,-34290,-51341,-17612,-30598,4540,-27432,-3738,-48918,2842,-62060,-38727,-6492,24518,-60780,-27270,-78447,17529,-79098,-78130,-83581,98545,-89258,-2488,-55495,17831,-34826,-24843,-148952,9168,-105054,-50578,-77295,12360,-131177,-155787,499159,-30115,-110375,-112227,-131843,-39265,-104313,-104521,-153233,-372540,-259730,-136849,-309137,-289117,-443093,-249739,-78346,-172529,-599653,-362578,-154596,-495324,-563796,,,,,,,,,,,,,,,,,,,,,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12217,6385,7999,5388,6333,9553,6901,6759,5300,6910,4209,4287,,4592,4540,6472,4129,6919,5100,5453,9435,11528,11820,16543,11385,12999,10617,11112,14353,12473,12069,7987,8800,10365,7240,7004,7128,9190,6491,6509,5381,6402,3047,8092,6036,6759,6190,3982,4584,5154,5583,4309,3914,5555,7308,6094,4396,15262,9644,6101,4923,6190,8475,9765,4388,9153,6508,7537,3439,8164,8905,7570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41912,-36498,-40602,-19455,-22775,-17192,-21533,-16724,-28453,-17625,-26730,-17963,-32478,-18130,-29111,-20146,-34636,-19853,-29937,-14247,-38163,-19967,-35398,-21882,-46483,-26560,-43907,-30172,-53326,-29710,-52025,-22801,-56761,-22993,-49890,-29339,-66760,-26002,-55899,-30880,-87888,-36890,-65625,-35092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12794,-8550,10,,,-33662,-17965,-16,,,-21168,-19825,-38177,,,,-24020,-39261,,-41397,,-35018,-45870,-47854,-56239,-33252,-66137,-53887,-81847,-63257,-79198,,-45812,,,,,,,,,,,,,,,,,,,,,-89900,-68800,-89200,,-70376,-105300,-60500,-85100,,-57500,-100900,-60700,-106000,,-61300,-90000,-78300,-89600,-104000,-137800,-97200,-123800,,-111200,-116500,-106000,-32200,,-105200,-104744,-95122,-75836,,-34545,12572,-88962,-125084,,-149555,-161483,-99559,-154482,,-144822,-171069,-133554,-170093,-168347,-193356,-185174,-217651,,-166956,-164937,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,28525,-35978,195512,-14381,-9200,-4892,-2413,-22884,-13651,-3756,21038,-4013,-2206,-7906,50927,-22542,-9523,3593,26968,72176,63590,86879,92703,81756,54551,78243,163977,94760,75062,89126,57428,77707,71658,52506,123807,117909,94499,115832,95812,108988,4507,536067,102235,-68691,-37357,-29681,-42353,-108375,-36254,-28771,-195035,-72326,-19816,-106855,-19304,-88765,-7989,-71333,-8041,-159521,-124804,-180987,-196134,-161860,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297587,229063,232872,354006,613637,360907,380637,288603,392447,460559,467882,565200,,466806,486449,435631,421860,469155,685844,639243,610887,644738,682079,654327,820887,686495,731886,465004,453054,183433,-282139,-914729,-138508,75533,224887,129556,263004,129069,129668,41549,-80531,79128,198602,235674,415203,379334,131249,477863,724163,619362,678956,418599,771826,737348,846461,537193,845259,829892,777761,530469,677056,499478,587538,429753,679348,572825,750940,617316,813864,734945,176970,559686,850986,770834,771940,399182,118233,610582,1141174,1062366,1257219,886825,1093507,752979,1021748,812528,1034998,799459,1720553,1800972,1835540,1608020,1872258,,,,,,,,,,,,,,,,,,,,,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20043,23310,19083,227166,8488,9212,12225,19498,5759,9192,12284,16894,6805,7156,10443,62955,5965,12166,10022,6172,8133,8697,4589,13435,5042,8111,8532,12518,4721,19553,7570,10757,7906,10286,8186,11368,10532,8446,10704,6453,-21607,-102774,513120,-13365,0,0,0,14807,0,0,0,70,0,0,0,7705,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20024,3139,17642,27877,8093,8173,12096,18575,5733,6764,7028,16689,6524,3760,10414,12830,5953,11986,8140,6142,5607,7275,5600,10175,5027,5647,8523,12428,4559,13518,5640,9612,7130,5072,8291,10180,10531,8120,10642,5996,10655,8438,8534,8275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14807,,,,70,,,,7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
