META US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,218,216,437,388,407,414,548,381,-743,377,523,373,562,736,1133,1075,1390,1397,1133,933,1273,1459,2560,2010,2734,3117,4566,3327,4401,5122,7352,5449,5863,5781,7820,3317,4626,7185,8858,5893,5963,8040,12775,11378,12367,10423,12585,8524,8358,5664,6399,7227,9392,13748,16384,13818,14847,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,8,35,28,-1,22,5,18,20,17,10,3,0,4,61,19,1,0,27,3,-56,-20,-47,33,-81,-87,-114,-110,-161,-5,-131,-151,-165,-206,-144,-311,32,-168,-93,-280,-125,-146,-142,-117,-384,172,88,250,-80,99,-272,-424,-365,-259,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-5,,,-27,-32,-50,-56,-67,-91,-108,-126,-145,-143,-176,-187,-198,-219,-258,-229,-228,-162,-146,-136,-118,-121,-120,-102,-76,-91,-77,-32,-138,-207,-395,-452,-458,-412,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,10,16,13,10,11,16,,,,7,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,116,139,136,127,128,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,219,258,229,228,162,146,136,118,121,120,102,76,91,77,32,193,323,534,588,585,540,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17,-1,25,12,-14,12,-6,2,20,17,10,-4,0,4,61,19,3,5,27,3,-29,12,3,89,-14,4,-6,16,-16,138,45,36,33,13,114,-82,260,-34,91,-15,-100,-25,26,-16,-254,263,296,225,-5,161,25,-33,-55,-15,
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,399,379,520,382,-765,372,505,353,545,726,1130,1075,1386,1336,1114,932,1273,1432,2557,2066,2754,3164,4533,3408,4488,5236,7462,5610,5868,5912,7971,3482,4832,7329,9169,5861,6131,8133,13055,11503,12513,10565,12702,8908,8186,5576,6149,7307,9293,14020,16808,14183,15106,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2000,0,0,0,0,0,0,0,0,0,-16,0,0,413,7672,1914,2882,720,2246,486,41,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,1805,770,232,340,1091,240,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2000,,,,,,,,,,,,,,,,1870,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341,,,,7,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,399,379,520,382,-765,372,505,353,545,726,1130,1075,1386,1336,1114,932,1273,1432,2557,2066,2754,3164,4533,3408,4488,5236,7462,5610,5868,5912,7971,3482,4832,7329,9169,5861,6131,8133,13055,11503,12513,10565,12702,8908,8186,5576,6149,7307,9293,14020,16808,14183,15106,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,159,152,218,177,-608,431,441,134,212,301,607,433,595,530,413,420,554,536,995,328,471,537,965,344,594,529,3194,622,762,775,1089,1053,2216,1238,1820,959,953,287,1836,2006,2119,1371,2417,1443,1499,1181,1497,1598,1505,2437,2791,1814,1641,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,240,227,302,205,-157,-59,64,219,333,425,523,642,791,806,701,512,719,896,1562,1738,2283,2627,3568,3064,3894,4707,4268,4988,5106,5137,6882,2429,2616,6091,7349,4902,5178,7846,11219,9497,10394,9194,10285,7465,6687,4395,4652,5709,7788,11583,14017,12369,13465,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,240,227,302,205,-157,-59,64,219,333,425,523,642,791,806,701,512,719,896,1562,1738,2283,2627,3568,3064,3894,4707,4268,4988,5106,5137,6882,2429,2616,6091,7349,4902,5178,7846,11219,9497,10394,9194,10285,7465,6687,4395,4652,5709,7788,11583,14017,12369,13465,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,81,77,97,68,0,0,0,2,2,3,3,3,3,4,5,3,4,5,7,6,7,7,7,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,129,131,251,153,159,150,205,137,-157,-59,64,217,331,422,520,639,788,802,696,509,715,891,1555,1732,2276,2620,3561,3059,3890,4704,4266,4987,5106,5137,6882,2429,2616,6091,7349,4902,5178,7846,11219,9497,10394,9194,10285,7465,6687,4395,4652,5709,7788,11583,14017,12369,13465,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,129,131,251,153,159,150,205,137,-157,-59,64,217,331,422,520,639,788,802,696,509,715,891,1555,1732,2276,2620,3561,3059,3890,4704,4266,4987,5106,5137,6882,2429,2616,6091,7349,4902,5178,7846,11219,9497,10394,9194,10285,7465,6687,4395,4652,5709,7788,11583,14017,12369,13465,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,129,131,251,153,159,150,205,137,-157,-59,64,217,331,422,520,639,788,802,696,509,715,891,1555,1732,2276,2620,3561,3059,3890,4704,4266,4987,5106,5137,6882,2429,2616,6091,7349,4902,5178,7846,11219,9497,10394,9194,10285,7465,6687,4395,4652,5709,7788,11583,14017,12369,13465,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,0,0,0,0,2370,2680,0,0,0,0,0,0,0,0,0,-12.64,0,0,326.27,6060.88,1512.06,2276.78,568.8,1774.34,383.94,32.39,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1292,1316,1325,1347,1879,2420,2368,2386,2407,2430,2458,2545,2560,2587,2761,2784,2796,2808,2825,2843,2856,2871,2882,2891,2900,2904,2907,2906,2895,2885,2872,2856,2855,2854,2853,2851,2850,2850,2850,2847,2834,2814,2765,2725,2704,2682,2638,2587,2568,2576,2566,2545,2534,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.11,0.15,0.1,-0.08,-0.02,0.03,0.09,0.14,0.17,0.21,0.25,0.31,0.31,0.25,0.18,0.26,0.32,0.55,0.61,0.8,0.91,1.24,1.06,1.34,1.62,1.47,1.72,1.76,1.78,2.4,0.85,0.92,2.13,2.58,1.72,1.82,2.75,3.94,3.34,3.67,3.27,3.72,2.74,2.47,1.64,1.76,2.21,3.03,4.5,5.46,4.86,5.31,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.11,0.15,0.1,-0.08,-0.02,0.03,0.09,0.14,0.17,0.21,0.25,0.31,0.31,0.25,0.18,0.26,0.32,0.55,0.61,0.8,0.91,1.24,1.06,1.34,1.62,1.47,1.72,1.76,1.78,2.4,0.85,0.92,2.13,2.58,1.72,1.82,2.75,3.94,3.34,3.67,3.27,3.72,2.74,2.47,1.64,1.76,2.21,3.03,4.5,5.46,4.86,5.31,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,0.11,0.15,0.1,-0.08,-0.02,0.03,0.09,0.14,0.17,0.21,0.25,0.31,0.31,0.25,0.18,0.26,0.32,0.55,0.61,0.8,0.91,1.24,1.06,1.34,1.62,2.2484,1.72,1.76,1.78,2.4,1.6803,1.855,2.13,2.58,1.72,1.82,2.75,3.94,3.34,3.67,3.27,3.7151,2.74,2.47,1.7604,4.061,2.7913,3.9193,4.7173,6.1541,5.011,5.3265,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.9091,1510,1520,1519,1527,1879,2420,2506,2499,2502,2528,2558,2609,2615,2644,2816,2836,2850,2863,2878,2905,2921,2931,2938,2944,2951,2956,2954,2945,2930,2913,2886,2869,2875,2874,2871,2868,2879,2891,2890,2882,2877,2859,2799,2742,2713,2687,2640,2596,2612,2641,2630,2625,2610,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.1,0.14,0.09,-0.08,-0.02,0.03,0.09,0.13,0.17,0.2,0.25,0.3,0.3,0.25,0.18,0.25,0.31,0.54,0.6,0.78,0.9,1.21,1.04,1.32,1.59,1.44,1.69,1.74,1.76,2.38,0.85,0.91,2.13,2.56,1.71,1.8,2.71,3.88,3.3,3.61,3.22,3.67,2.72,2.46,1.64,1.76,2.2,2.98,4.39,5.33,4.71,5.16,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.1,0.14,0.09,-0.08,-0.02,0.03,0.09,0.13,0.17,0.2,0.25,0.3,0.3,0.25,0.18,0.25,0.31,0.54,0.6,0.78,0.9,1.21,1.04,1.32,1.59,1.44,1.69,1.74,1.76,2.38,0.85,0.91,2.13,2.56,1.71,1.8,2.71,3.88,3.3,3.61,3.22,3.67,2.72,2.46,1.64,1.76,2.2,2.98,4.39,5.33,4.71,5.16,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.1,0.14,0.09,-0.08,-0.02,0.03,0.09,0.13,0.17,0.2,0.25,0.3,0.3,0.25,0.18,0.25,0.31,0.54,0.6,0.78,0.9,1.21,1.04,1.32,1.59,2.2085,1.69,1.74,1.76,2.38,1.6761,1.8422,2.13,2.56,1.71,1.8,2.71,3.88,3.3,3.61,3.22,3.6655,2.72,2.46,1.7604,4.0558,2.7825,3.8517,4.6054,6.0047,4.8563,5.1724,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US GAAP,,,,US GAAP,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,479,511,651,491,-604,553,747,606,792,1010,1407,1339,1647,1686,1566,1390,1732,1945,3103,2562,3319,3708,5180,3998,5129,5895,8205,6398,6897,6888,9045,4918,6402,8899,10647,7830,8011,10090,14993,13712,14723,12804,15020,11091,10772,8319,9306,10308,12531,17093,20087,17726,19073,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0496,52.7984,24.2431,23.5383,23.3248,23.7202,44.0994,45.9109,48.4629,51.0094,53.9599,54.2768,50.0401,46.561,43.5412,41.6201,45.5737,47.263,49.3186,51.4471,53.4373,53.503,54.3062,55.3631,57.1348,57.4764,56.488,54.7017,52.3443,47.0712,43.5324,43.9868,43.6596,46.046,47.0835,46.3153,47.6049,49.5826,51.0717,50.0596,47.7058,44.8231,41.6101,38.2695,33.8636,32.9837,33.5737,38.7838,44.4911,47.2542,49.3908,
EBIT,EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,218,216,437,388,407,414,548,381,-743,377,523,373,562,736,1133,1075,1390,1397,1133,933,1273,1459,2560,2010,2734,3117,4566,3327,4401,5122,7352,5449,5863,5781,7820,3317,4626,7185,8858,5893,5963,8040,12775,11378,12367,10423,12585,8524,8358,5664,6399,7227,9392,13748,16384,13818,14847,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1546,76.5363,75.2621,78.1609,73.8185,69.0034,74.4849,74.8896,71.6735,74.3519,74.8512,81.0058,81.5348,83.7457,82.3603,83.0434,81.5411,83.4735,84.0036,85.8928,84.4296,85.752,85.9221,88.1144,85.5702,86.7289,85.9799,87.5809,83.896,83.2666,82.3851,83.4693,81.3225,80.4157,82.1267,83.4361,80.4984,79.5098,80.4658,81.4406,80.3943,81.4321,80.1069,81.147,78.4829,81.986,79.375,74.0836,78.6769,81.4213,81.8134,80.8157,81.7858,81.2956,
