GE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,2784,,,,4531,,,,4223,,,,4130,,,,,,,,,,,,4743,-570,185,483,1572,-442,-1557,1905,-1450,279,503,1013,2442,9508,-5977,-3304,-586,-18,-177,834,248,360,769,915,-1567,589,-2348,1183,4330,707,-3106,-190,5253,-2429,-5,-1967,874,254,-869,2715,309,4984,-3409,4137,-3957,-444,3741,-2850,31210,-1355,5488,9058,10886,-2692,4214,4544,575,3238,8890,287,-6878,-852,-9362,11164,-8113,12425,-1078,-2198,2179,-1675,-403,3965,3038,-2143,9479,12258,-19731,10340,-44905,-867,-5887,-7518,2219,-3805,3774,-11945,-4491,-925,8185,-45,-2941,-4150,8664,10697,-5865,-2239,-2061,-3494,-10096,2179,-9339,-2534,647,-854,4973,-5222,962,282,4641,1535,-6343,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,1114,587,5198,674,618,514,-3730,593,-1529,-115,-353,325,-1392,-181,3377,,,,1441,,,,,,,,,,,634,342,105,-196,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4302,2711,832,3809,187,481,417,1247,459,3245,3125,5600,1909,10843,931,7887,95,8580,1828,3904,12124,6802,1134,-1357,7300,3041,186,971,2075,4866,3947,685,5752,7433,1725,2305,12759,,12364,-27042,7128,-1155,21,1848,18,1,557,636,4547,2972,3320,363,190,204,210,852,-6383,196,7804,25,1454,612,24,1,1723,0,15,10289,0,206,724,1341,967,1676,3410,-3331,0,0,1,0,0,0,,,6,1,3,75,0,27,0,1523,,,30,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,1037,1352,1612,4498,639,1579,3130,4743,701,2948,-42,2245,1686,907,4345,3440,2614,2867,2020,1590,-500,-42,2651,7210,1951,6587,3520,4811,2037,3193,7737,2978,1662,6080,8635,3073,5635,5436,6661,6066,5990,3537,10069,3714,2512,2629,6019,3508,191,9234,6685,9409,3207,6819,6791,15095,-2761,3836,7045,7661,5792,7744,8549,4239,4527,4075,6570,5537,3180,3730,2668,6634,966,3748,2319,8088,1600,4917,4751,9307,4594,4568,-823,4243,-912,-4975,-1095,-461,-1552,294,-502,2091,-1478,-2461,-3915,6205,-1273,-1481,987,6243,-737,-1660,1035,3351,-2291,251,2045,2077,-795,240,1171,4085,-557,109,1421,2611,571,835,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,1120.8218,1458.2124,1740.8533,4621.6641,733.8322,1672.1468,3247.4051,4842.0514,805.6886,3059.2732,110.6493,2486.5068,1821.6543,1049.4879,4480.0009,3642.4867,2737.2432,3020.0798,2154.0908,1742.0106,-334.2902,138.1491,2755.9397,7319.1144,2125.5709,6669.1458,3702.6036,4961.1669,2148.0089,3252.4523,7902.3426,3078.5555,1820.1551,6243.5557,8857.366,3268.448,5819.4825,5476.8847,6947.2262,6360.9971,6305.4947,3814.0412,10344.4732,4027.9649,2794.2224,2991.2472,6415.8136,3772.7005,621.1242,9571.8548,7107.0456,9914.7667,3714.4386,7284.9548,7261.2871,15541.8992,,4158.697,,,6080.8678,8084.743,8907.0106,4641.0855,4693.7554,4332.8757,6884.7014,5776.4139,3441.7527,4039.4199,2921.3047,6965.8385,1250.2339,4046.9279,2624.5072,8418.56,1896.9268,5292.9701,5080.8162,9722.8149,3472.5953,4855.2006,-411.9756,4339.0954,819.9171,-3808.8551,-142.3404,,,,,,,-1697.4717,,,-340.8877,,,,-180.8025,-1165.3037,,3755.3558,-2089.3193,,2505.4178,,,,,,-299.2291,316.2525,1574.4867,2844.9711,801.6238,1061.5764,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,5364,2482,11186,4157,6286,13094,16959,6285,7382,5279,23197,-4254,2624,7618,16738,2488,6466,7840,22972,8600,16436,10937,23536,4780,18042,-8298,13400,9962,1694,7861,19993,,,,,,,,,,,,,24208,24733,11182,-18246,-14758,-1917,2362,5931,-19068,-1836,-2578,7799,-9543,4608,-3024,4523,-4071,-10729,1617,-5125,-17235,-6546,7752,5694,-2189,3169,5533,-13205,724,-2455,-27356,-12869,-13824,-35136,-5436,-7689,-8337,4972,-3606,-423,-11229,-9089,-2696,3468,-3505,-2705,-5290,4424,-8399,-5220,-2122,-1314,-3847,-8324,1887,-24571,-2041,-546,56,4215,-2503,-700,698,2474,277,602,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,0.8134,1.0678,1.2821,3.5912,0.5123,1.2717,2.5311,3.8433,0.5691,2.4011,-0.0343,1.8313,1.3753,0.7397,3.5455,2.8165,2.1302,2.3333,1.6423,1.2903,-0.4053,-0.034,2.1409,5.8145,1.5712,5.3035,2.835,3.9144,1.6409,2.5693,6.2201,2.391,1.3319,4.8601,6.8867,2.4452,4.4462,4.1868,5.0433,4.5868,4.522,2.6684,7.61,2.8227,1.9245,2.0297,4.6672,2.7262,0.1486,7.1944,5.255,7.4912,2.5713,5.4782,5.4585,11.5438,-2.0909,2.8926,5.298,5.7515,4.3422,5.798,6.4073,3.1884,3.4131,3.0743,4.9679,4.1923,2.4043,2.822,2.0283,5.0801,0.7449,2.9216,1.8276,6.4127,1.2743,3.9214,3.786,7.4086,3.6507,3.6229,-0.6517,3.4832,-0.7855,-4.3837,-0.9838,-0.4193,-1.4248,0.2712,-0.4635,1.9281,-1.3617,-2.2661,-3.6025,5.7057,-1.1691,-1.3581,0.9045,45.7782,-0.6744,-1.5177,0.9461,24.4822,-2.0894,0.2287,1.8625,1.8899,-0.7227,0.2184,1.0694,3.7443,-0.5115,0.1001,1.3061,2.3998,0.5234,0.7668,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,8.5024,9.6252,10.3938,9.1807,9.667,9.6366,11.0967,16.0165,24.5536,24.6688,37.0573,16.9417,19.1954,19.1163,16.6522,21.1988,33.3786,51.0772,101.73,92.4735,30.5236,21.1043,15.7321,11.4681,14.0793,13.0884,12.6856,8.224,9.0892,9.7536,9.2723,9.2223,9.5508,7.8368,8.6314,9.9686,9.5648,9.4105,9.8587,8.3116,9.5184,11.0778,10.9642,14.7621,15.6931,17.6798,12.4319,12.9295,8.8312,7.868,6.1423,5.8116,3.0948,2.373,3.1504,4.4539,6.1099,4.7638,3.2569,3.4876,4.4352,5.1022,5.6122,4.9742,5.4778,6.5615,6.9327,9.4948,8.144,10.3648,10.3002,10.8125,11.2665,9.9634,9.3608,7.9648,7.3787,6.327,6.8853,8.6026,14.7528,26.8381,25.7912,,,,,,268.5141,172.4439,176.9213,,,,,10.9013,1.2584,0.8854,0.7643,0.6965,2.3141,2.9958,2.8435,2.6189,31.0794,17.4765,12.1996,15.6945,12.1008,16.866,19.9007,19.0058,30.8966,32.3353,31.8194,37.1056
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.3189,1.8401,2.9211,2.247,,0.3784,2.1257,3.5875,0.9537,1.4597,2.9207,3.1491,2.0168,2.4175,1.8499,2.7962,-0.3193,2.5966,2.3604,8.5313,1.9344,2.0041,1.9801,3.0268,1.5478,1.8181,2.868,3.3411,1.4568,2.3187,1.07,1.9698,1.9075,1.5171,2.1668,2.6533,1.9814,2.1454,2.19,2.7397,0.6474,1.1528,1.789,3.188,1.7295,3.0326,2.256,2.2169,2.1942,1.3061,2.5765,2.6428,1.2117,2.1518,3.0436,1.3871,2.4725,2.3805,2.3765,1.7601,2.2507,1.4513,2.9066,2.4632,1.2259,1.3536,1.9507,1.3895,1.0812,2.4931,1.7746,2.2546,1.609,2.2013,2.368,5.2716,-0.071,2.1328,3.3657,3.4812,3.6473,3.0341,4.8409,2.1277,2.2418,1.9777,2.8173,2.4493,2.1312,2.4963,1.6789,2.8055,1.3071,2.3367,1.6393,3.5611,1.6542,1.4807,1.7062,2.2252,,,0.3037,1.0705,2.8246,-1.1964,0.4746,0.4442,,2.0028,0.8081,,,-1.2337,,11.2576,0.034,0.5512,,9.2047,-0.0376,,,1.3763,,,1.8624,,,,8.8385,2.0248,-0.0345,14.3636,5.2385,1.9742,0.6454,0.7212,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,12431,14214,14050,16967,13139,14601,14290,17349,12278,13984,13972,16040,11678,13469,13119,16832,12621,14725,14481,17489,14948,17630,17151,19547,16931,18901,19861,22848,19998,21860,21806,24876,22459,24928,23978,28455,24062,27205,27112,32453,29925,32727,31901,34864,30434,31821,29454,33970,30466,33246,32262,35223,30401,33225,33188,36771,33213,36711,38083,43744,34033,35943,36021,40276,35119,37101,37307,40785,38689,40960,42128,47692,41653,46840,46690,46320,38010,39074,37361,40940,35854,36650,35186,40889,34704,34999,34808,37713,34523,36004,35467,38336,33328,34955,35298,39356,33352,31922,31849,33427,26097,28446,27859,32757,27836,30344,29038,32469,26880,29097,30663,31603,27788,29162,23392,26499,22202,23414,23360,21245,19490,16805,18529,21033,17071,18253,18569,20303,12675,14127,14470,21786,14486,8755,17346,19423,16053,9094,9842
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24127,26078,25143,28429,23673,24504,23601,28659,21991,22908,23138,26486,23527,25003,24539,27080,22187,24502,25152,28701,23850,26098,25890,30921,23683,26056,25527,30543,25314,28028,26814,30234,24616,27075,28765,30512,26002,27151,21282,24336,20257,21371,21504,21245,18791,16049,17866,20264,16316,17470,17813,19492,11910,13362,13825,21011,13694,7907,16504,18514,15174,8222,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,8057,9184,9221,11396,8391,9308,9374,12035,7385,8536,8630,9951,6779,8691,7466,9516,6980,8360,8079,10088,8232,9662,9008,11144,8668,9793,10143,13313,10110,11486,11279,14862,11490,12871,12247,14638,11680,13394,13488,16755,14430,16018,15824,16662,14691,15380,14244,15380,18184,19983,19112,23120,17729,14958,14847,17919,15289,17943,22488,21301,19783,20998,20383,23247,20298,21311,22167,24554,21951,23867,24887,28595,24973,27893,29647,29652,23933,24051,23408,25605,22059,21562,20941,24802,21036,21761,21034,21225,21791,22840,22063,22205,20360,21566,22351,24807,21029,21688,21463,24614,19634,21652,21114,24537,20361,22383,20966,23773,20230,21623,23671,25358,20911,21749,17847,20574,16208,17412,17328,13904,14427,13633,14041,15770,12537,13618,13402,14338,9774,10525,11534,15467,10729,5692,12904,14396,11620,5575,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18812,19583,19280,21506,18259,17917,17368,21192,17452,18163,17478,18097,18606,19861,19265,19523,17978,19178,20127,22534,19142,20664,20402,24262,19295,21229,20528,23584,20361,22383,20966,23773,20230,21623,23671,25358,20911,21749,17847,20574,16208,17412,17328,13904,14427,13633,14041,15770,12537,13618,13402,14338,9774,10525,11534,15467,10729,5692,12904,14396,11620,5575,
Gross Profit,GROSS_PROFIT,4374,5030,4829,5571,4748,5293,4916,5314,4893,5448,5342,6089,4899,4778,5653,7316,5641,6365,6402,7401,6716,7968,8143,8403,8263,9108,9718,9535,9888,10374,10527,10014,10969,12057,11731,13817,12382,13811,13624,15698,15495,16709,16077,18202,15743,16441,15210,18590,12282,13263,13150,12103,12672,18267,18341,18852,17924,18768,15595,22443,14250,14945,15638,17029,14821,15790,15140,16231,16738,17093,17241,19097,16680,18947,17043,16668,14077,15023,13953,15335,13795,15088,14245,16087,13668,13238,13774,16488,12732,13164,13404,16131,12968,13389,12947,14549,12323,10234,10386,8813,6463,6794,6745,8220,7475,7961,8072,8696,6650,7474,6992,6245,6877,7413,5545,5925,5994,6002,6032,7341,5063,3172,4488,5263,4534,4635,5167,5965,2901,3602,2936,6319,3757,3063,4442,5027,4433,3519,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,0,,0,428,34,438,106,350,278,187,336,0,624,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,1135,9,3150,227,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,2929,3351,3273,3856,3216,3573,3464,3499,3453,3738,4002,4314,3342,3880,3821,5535,3916,4098,4413,4940,4654,5358,5715,5689,5912,6246,6944,6507,7285,7069,7580,9015,7978,8425,8249,10042,9037,9641,9638,11401,11247,11645,11456,13089,11068,10964,10624,13049,7168,7638,8131,9376,8275,13183,13185,13314,13617,14233,10186,15769,9750,9699,9844,9691,9859,10070,9584,9256,10533,11052,11394,11625,11550,12037,12183,13705,11673,11750,12222,12625,11115,10893,10600,12629,9647,9154,10388,12124,9193,9147,9993,11436,10223,9548,9469,10721,8946,7221,7176,4640,4706,4673,4553,7170,5509,5961,5265,5420,5110,4942,6566,17326,4838,5081,26868,4735,4085,4972,5595,7226,4445,5185,4460,4596,4038,3983,4046,4555,3847,3073,3067,5510,3462,2050,3579,4153,3758,1966,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4415,4385,4258,4772,4608,4883,4343,4543,4287,4152,4741,4389,4088,4346,4100,3630,3402,3425,3293,3686,3061,3068,3215,3248,2894,2863,2745,3213,2725,1817,1966,3543,2142,913,2171,2524,2269,924,1330
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,611,595,635,561,604,627,705,403,439,426,789,431,239,471,551,507,300,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9337,8933,9354,9785,8928,8886,8963,11277,8507,8362,9427,11066,8330,8404,8871,10292,8766,8538,8680,9159,7962,6273,6318,440,291,288,295,2398,901,1078,922,877,823,790,1825,12937,750,735,22768,1105,683,1547,2302,3540,661,1506,650,713,583,516,674,637,719,817,675,1178,889,898,937,1078,982,742,
Operating Income (Loss),IS_OPER_INC,1445,1679,1556,1715,1532,1720,1452,1815,1440,1710,1340,1775,1557,898,1832,1781,1725,2267,1989,2461,2062,2610,2428,2714,2351,2862,2774,3028,2603,3305,2947,999,2991,3632,3482,3775,3345,4170,3986,4297,4248,5064,4621,5113,4675,5477,4586,5541,5114,5625,5019,2727,4397,5084,5156,5538,4307,4535,5409,6674,4500,5246,5794,7338,4962,5720,5556,6975,6205,6041,5847,7472,5705,6910,4860,2963,2832,3307,2169,2816,3030,4473,3832,3794,4021,4708,3942,4364,3539,4017,3411,4695,2745,3841,3478,3828,3377,3013,3210,4173,1757,2121,2361,2185,1975,5150,3034,3895,1540,2532,426,-11081,2039,2332,-21323,1190,1909,1030,437,115,618,-2013,28,667,496,652,1121,1410,-946,529,-131,809,295,1013,863,874,675,1553,872
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,206,185,194,242,223,301,249,254,-3413,172,175,-156,-395,-170,-613,-574,-1394,108,-142,-831,58,-63,6,295,136,-491,311,282,1737,1326,960,1002,1593,1405,-320,1890,1761,1096,1639,859,787,1326,1686,-253,-5690,-715,1648,-1913,258,1689,537,4877,234,1495,101,-1428,-6197,-496,563,-1135,-1191,106,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,220,191,215,253,259,148,151,255,115,244,203,157,75,212,2626,208,215,,236,239,49,355,336,381,336,339,376,349,439,467,268,533,422,473,236,,,525,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,500,488,462,,387,368,374,416,269,249,286,296,278,248,
    + Interest Expense,IS_INT_EXPENSE,217,196,228,277,211,225,215,217,167,197,183,191,147,144,120,105,91,104,121,94,126,158,190,175,143,137,175,140,158,165,215,259,207,204,199,273,184,220,191,215,253,259,148,151,255,115,244,203,157,75,212,125,208,215,282,236,239,49,355,336,381,336,339,376,349,439,467,413,533,422,473,565,602,554,525,472,376,348,352,402,343,430,393,434,355,321,356,267,315,351,294,393,324,326,338,345,365,401,377,437,389,414,440,463,1736,1326,961,1002,1139,1174,1232,1324,1282,1291,1155,1180,1065,929,1279,,561,561,526,421,500,488,462,426,387,368,374,416,269,249,286,296,278,248,251
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-276,,,-170,-163,-158,-160,-120,-129,-144,-180,-3768,-149,-181,-423,-710,-521,-907,-967,-1718,-218,-480,-1176,-307,-464,-371,-142,-253,-905,-129,-181,1,0,-1,0,454,231,-1552,566,479,-195,484,-321,-278,397,407,-253,-6251,-1276,1122,-2334,-242,1201,75,4451,-153,1127,-273,-1844,-6466,-745,277,-1431,-1469,-142,
"Pretax Income (Loss), Adjusted",PRETAX_INC,1396,1621,1488,1724,1515,1668,1525,1800,1420,1704,1457,1745,1566,949,1901,1871,1798,2345,2060,2628,2121,2636,2433,2751,2378,2896,2765,3036,2614,3283,2931,2591,2971,3595,3467,3709,3298,4208,3910,4526,4107,4996,4640,5130,4556,5597,4463,5433,5083,5697,5348,3089,4319,5082,5197,5616,4305,4927,5358,6908,4560,5659,5934,6946,5127,6080,5822,2952,6383,7287,5941,7917,5354,6632,5172,2624,2626,3122,1975,2574,2807,4172,3583,3540,7434,4536,3767,4520,3934,4187,4024,5269,4139,3733,3620,4659,3319,3076,3204,3878,1621,2612,2050,1903,238,3824,2074,2893,-53,1127,746,-12971,278,1236,-22962,331,1122,-296,-1249,368,6308,-1298,-1620,2580,238,-1037,584,-3467,-1180,-966,-232,2237,6492,1509,300,2009,1866,1447,1893
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,308,0,1500,-140.1538,-342,161.9231,-46,64,52,-33,146,-3496,2,-60,-3195,-193,329,210,309,-1768,131,58,-346,11,6,2,958,425,829,1042,1317.5615,1139,-1941,997,1490,1621,1821,1019,2753,589,2072,25462,672,444,1814,2062,1450,-5886,204,1798,-1881,44,1436,179,4890,1237.8481,46,54,-521,-5798.2532,-411,-156,-565,-629,160,-182
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,-921,,,,,,,,,-49,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.4615,,,,,,,,,,,,,,,,,,,363,,,,,,824,,,-1,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3557,,-157,-3400,-274,,,,,,,,,,,,,,,-623,-59,-3129,-208,-49,,,,,,,,,,,,135,,,-28,,-145,-227,156,-115,-4,-2,-22,-24,55,54,-6,-4,-4,-10,-356
