DD US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-369,-6,,,-162,-7,-227,-635,-20,21,,14,,,,,-197,,-393,-3,-3,-140,-3,3,1,-63,-5,-2,-12,-1,,,-4,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,,,-27,469,-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,69,903,178,22,10,-599,312,50,11,37,-20,-17,-21,25,-11,-8,30,,2,5,30,,7,,-1,45,14,17,,,39,8,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383,4286,700,-286,1128,2323,651,-2874,1542,130,168,310,-188,-160,248,189,-456,-2381,208,383,385,488,339,232,279,478,498,193,356,356,408,-616,267,296,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,318,101,-323,213,440,392,-1715,389,99,37,-6,-92,121,26,-2,94,8,122,-64,-1,93,80,65,47,113,139,88,83,87,117,-316,84,120,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,3968,599,37,915,1883,259,-1159,1153,31,131,316,-96,-281,222,191,-550,-2389,86,447,386,395,259,167,232,365,359,105,273,269,291,-300,183,176,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,-1773,-408,-204,0,0,0,3,60,82,158,217,-5012,-92,-145,-59,-276,-430,-17,-4133,8,386,-37,-286,-14,-9,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,-1773,-408,-204,0,0,0,3,60,82,158,217,-5012,-92,-145,-59,-276,-430,-17,-4133,8,386,-37,-286,-14,-9,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,3968,599,37,915,1883,259,-1159,1148,1804,539,520,-96,-281,222,188,-610,-2471,-72,230,5398,487,404,226,508,795,376,4238,265,-117,328,-14,197,185,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,26,20,33,27,48,27,47,44,35,38,38,4,9,5,12,6,7,7,8,4,9,13,22,20,8,9,12,8,14,9,8,8,7,
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162,3942,579,4,888,1835,232,-1206,1104,1769,501,482,-100,-290,217,176,-616,-2478,-79,222,5394,478,391,204,488,787,367,4226,257,-131,319,-22,189,178,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,85,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,3857,494,-81,888,1835,232,-1206,1104,1769,501,482,-101,-290,217,176,-616,-2478,-79,222,5394,478,391,204,488,787,367,4226,257,-131,319,-22,189,178,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,3857,494,-81,888,1835,232,-1206,1104,1769,501,482,-101,-290,217,176,-616,-2478,-79,222,5394,478,391,204,488,787,367,4226,257,-131,319,-22,189,178,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,-2125,456,1230.746,587,253,876,2954,1273,292,335,502,265.91,647.98,183.28,346,923.12,2528,239,-51,-73,-79,36,126,79.79,-35,-50.79,264.21,20.06,18,9,889,58.65,7,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,-1773,-408,-204,0,0,0,3,60,82,158,217,-5012,-92,-145,-59,-276,-430,-17,-4133,8,386,-37,-286,-14,-9,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.6993,741.4326,741.8659,739.7993,771.8992,774.9992,775.9992,775.6326,772.3326,769.5992,765.4,760.7068,757.575,749,745.5,740.7,738.6,734.3,734.4,734.6,604.8,529.6,521.5,516.1,512,505.4,499.4,477.2,458.8,459.2,451.7,430.3,422.8,417.8,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,5.19,0.66,-0.12,2.22,2.37,0.3,-1.56,1.41,2.29,0.65,0.63,-0.1287,-0.39,0.29,0.24,-0.83,-3.37,-0.11,0.3,8.92,0.91,0.75,0.4,0.95,1.56,0.73,8.8558,0.56,-0.29,0.71,-0.05,0.45,0.43,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,5.19,0.66,-0.12,2.22,2.37,0.3,-1.56,1.41,-0.005,0.1215,0.4,-0.1287,-0.39,0.29,0.24,-0.75,-3.26,0.11,0.6,0.64,0.74,0.48,0.281,0.42,0.71,0.69,0.1949,0.58,0.56,0.62,-0.72,0.41,0.4,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3203,2.336,1.2806,1.5541,1.9109,2.6942,1.4278,2.2536,3.0842,0.3742,0.5592,1.0254,0.2177,0.4779,0.5369,0.7088,0.497,0.1798,0.433,0.5282,0.5109,0.5797,0.5407,0.5251,0.5699,0.6371,0.5991,0.7486,0.6213,0.5945,0.6442,1.3502,0.5526,0.4213,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0993,780.4326,749.0326,739.7993,780.3992,782.5659,783.2326,775.6326,778.0992,774.4992,770.4,764.3069,757.575,749,747.7,742,738.6,734.3,734.9,735.4,606.3,531.2,523.1,517.8,513.8,506.3,500.4,477.1,460.2,460.3,453.4,430.3,424.3,419.3,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,5.04,0.66,-0.12,2.16,2.34,0.3,-1.56,1.41,2.27,0.65,0.63,-0.1287,-0.39,0.29,0.24,-0.83,-3.37,-0.11,0.3,8.9,0.9,0.75,0.4,0.95,1.55,0.73,8.8558,0.56,-0.29,0.7,-0.05,0.45,0.42,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,5.04,0.66,-0.12,2.16,2.34,0.3,-1.56,1.41,-0.005,0.1204,0.39,-0.1287,-0.39,0.29,0.24,-0.75,-3.26,0.11,0.6,0.64,0.73,0.48,0.281,0.42,0.71,0.69,0.1949,0.58,0.55,0.62,-0.72,0.41,0.4,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2949,2.3172,1.2688,1.5436,1.9109,2.6633,1.4184,2.2485,3.046,0.372,0.5552,1.0254,0.2177,0.4751,0.5351,0.7063,0.497,0.1798,0.433,0.5282,0.5109,0.5797,0.5407,0.5243,0.5699,0.6371,0.5885,0.7486,0.6213,0.5891,0.6399,1.346,0.5482,0.4167,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3726,3157,2300,825,2373,3639,1987,-2160,3004,1490,1602,1425,1435,669,844,973,267,-1484,728,1278,907,821,828,721,739,795,849,539,713,723,768,-193,635,789,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1169,13.0221,13.3053,12.6118,8.0763,8.0295,6.5751,7.4102,19.5315,28.5112,27.1066,25.503,23.2094,16.4999,3.7351,3.0648,5.5029,10.4421,27.6593,29.3344,26.0783,24.2455,23.6408,23.5884,22.4476,22.6941,22.5325,22.3481,16.6639,16.1339,16.5782,
EBIT,EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519,1879,934,-560,1595,2301,598,-3611,1520,-6,132,-43,-128,-16,300,403,-536,-2291,-86,485,489,462,431,357,370,486,584,234,407,412,444,-516,313,459,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2684,28.5213,23.842,22.8149,22.9478,27.8998,22.0891,13.8642,24.1516,30.2544,33.6618,33.26,32.7404,36.8031,35.3243,34.5119,36.812,30.1307,33.3976,34.0267,38.3162,36.8879,36.4802,34.7197,35.5528,35.3101,36.8405,34.0206,34.2942,34.3891,36.102,35.5418,34.5616,37.0546,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2639,10.1518,5.497,-3.1578,12.0559,11.1068,3.2704,-17.9956,7.0665,-0.1024,2.3227,-0.788,-3.2998,-0.4092,7.6903,7.744,-14.6049,-69.6564,-2.3698,12.9333,16.2082,14.884,13.473,10.9982,11.3012,14.6297,17.6063,7.5387,13.4858,13.3161,14.5193,-17.8054,10.6789,14.4749,
Profit Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5798,21.2977,3.4077,0.0226,6.712,8.8575,1.2688,-6.0102,5.1325,30.2032,8.8158,8.8327,-2.578,-7.4169,5.5627,3.382,-16.7847,-75.342,-2.1769,5.92,178.7869,15.3995,12.2226,6.2847,14.9053,23.6905,11.0642,136.1469,8.5156,-4.234,10.4317,-0.7591,6.4483,5.6134,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204755.102,,,,55683.6735,,,,148685.7143,,,,110294.1176,,,,115928.5714,,,,134956.5217,,,,120750,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7692,,1.8888,2.1568,3.9626,2.7372,0.8441,0.4418,0.003,-0.7773,-6.837,-7.5967,-7.4247,9.1671,18.8316,20.205,19.9178,5.8504,7.1367,7.1631,22.1426,21.3067,18.2726,19.0261,1.6638,1.4109,2.6851,
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2876,,0.9877,1.1322,2.0294,1.3877,0.4593,0.2428,0.0023,-0.398,-3.926,-4.2134,-4.2067,5.2837,10.6846,10.977,11.0916,3.3499,4.1427,4.097,13.48,13.0183,11.0727,11.224,1.0587,0.8996,1.7169,
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.903,,2.0951,2.0902,3.5318,2.154,0.9229,0.8272,0.3742,0.0625,-3.596,-3.9311,-4.1724,7.2655,13.7265,13.8826,14.8882,5.1081,6.0553,6.0139,17.0074,16.2595,13.9289,14.1049,2.2614,2.0832,3.2752,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.866,,-0.1845,-0.2762,1.0137,-0.0214,-0.2506,-0.1092,0.1347,-0.3169,-3.8948,-4.1942,-4.0981,-2.6536,2.583,3.1276,2.8486,2.997,3.108,3.3764,3.054,3.1252,3.0691,2.8847,2.024,1.7442,1.6633,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2684,28.5213,23.842,22.8149,22.9478,27.8998,22.0891,13.8642,24.1516,30.2544,33.6618,33.26,32.7404,36.8031,35.3243,34.5119,36.812,30.1307,33.3976,34.0267,38.3162,36.8879,36.4802,34.7197,35.5528,35.3101,36.8405,34.0206,34.2942,34.3891,36.102,35.5418,34.5616,37.0546,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2639,10.1518,5.497,-3.1578,12.0559,11.1068,3.2704,-17.9956,7.0665,-0.1024,2.3227,-0.788,-3.2998,-0.4092,7.6903,7.744,-14.6049,-69.6564,-2.3698,12.9333,16.2082,14.884,13.473,10.9982,11.3012,14.6297,17.6063,7.5387,13.4858,13.3161,14.5193,-17.8054,10.6789,14.4749,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8578,19.1123,,,,-15.5249,-3.6978,,-9.3472,-0.5136,,,-195.2153,-366.3446,-141.9118,,,,,-25.3968,,11.0092,129.661,-86.6197,,-32.4561,-54.0541,-364.0777,-108.046,61.039,
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8313,23.1563,4.1198,-1.6127,8.5261,11.213,3.5603,-14.3227,7.1688,2.2196,2.9562,5.6808,-4.8466,-4.0921,6.3573,3.6318,-12.4251,-72.3928,5.7316,10.2133,12.761,15.7216,10.5971,7.1473,8.5217,14.3889,15.0136,6.2178,11.7959,11.5061,13.3421,-21.256,9.1095,9.3346,
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7441,21.4382,3.5254,0.2086,6.9161,9.0892,1.4165,-5.7759,5.3603,0.5293,2.3051,5.7907,-2.4749,-7.1867,5.6908,3.6703,-14.9864,-72.6361,2.3698,11.92,12.7942,12.7255,8.0963,5.1448,7.0861,10.9874,10.823,3.3827,9.0457,8.6942,9.516,-10.352,6.2436,5.5503,
