XOM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,0,0,,,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,1883,1401,2165,1270,2664,1137,1298,854,3074,1653,2119,568,1336,822,1359,189,403,387,1757,2082,3721,3932,3373,3465,6701,3173,2762,264,2198,1279,4565,1789,5708,4055,2631,3245,7328,5720,6616,8901,10255,5278,12275,6491,10901,7046,10782,5095,11180,7532,11128,6775,17441,8546,9261,5159,4237,-3368,3337,1741,7290,3591,5276,5385,9805,5077,7371,2117,11444,1872,5416,3167,6098,-968,4333,1782,7775,1660,4198,-1469,1154,1683,2773,-1756,211,248,1951,3509,5283,3849,2622,2910,5170,2853,5904,2513,3139,-226,2794,-352,329,-4417,1098,376,6864,6903,9251,13035,10877,16126,19549,11838,10929,4024,11043,7454,9590,4325,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,1978.9234,1510.4261,2283.108,1306.9182,2715.6188,1219.1376,1358.4444,955.0683,3121.5677,1720.1583,2190.6324,682.2531,1358.5557,842.1649,1363.1547,512.9022,564.1661,480.2768,1856.2325,2347.0426,3821.9513,4007.9771,3438.9326,3570.5403,6748.2301,3216.9626,2808.8183,315.1148,2252.7006,1310.3974,4595.2533,1932.2125,5736.1188,4098.6478,2656.3655,3283.4902,7357.455,5750.8252,6893.2486,8953.0287,10289.273,5425.6089,12320.4124,6566.242,10991.5332,7107.5263,10946.0358,5162.2316,11240.1686,7587.3659,11169.5197,6851.4161,17511.9368,8602.789,9444.0588,5231.0365,4301.091,-3187.9444,3369.812,1762.6543,7319.9656,3615.3853,5307.7541,5453.2952,9821.7298,5103.3392,7426.9828,2159.7968,11503.8626,1905.7024,5449.8126,3231.6058,6112.6068,-921.5656,4362.5714,,7815.6134,1701.233,4252.7687,-1416.8426,1221.3097,1735.0952,2832.4803,-1710.791,270.8317,300.6189,2045.9268,,5383.9023,3973.0885,2703.2171,,5304.7696,2942.9788,6045.9824,2677.3012,3240.5356,-67.8705,2953.5645,-172.435,515.2081,-4175.4664,1305.4995,,7064.8263,7095.5438,9405.6521,13206.0682,11003.3441,16270.5216,19715.0523,11981.4235,11041.0655,4198.1676,11158.2985,7659.1072,9743.0509,4514.8091,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3398.75,1553.75,2039.75,586.75,1237.5,788.5,1362.5,4603.5,771,1929,1911,3788,2172,,,,6297,1937,2918,54,2620,1924,4268,3505,6854,3692,2235,3024,8102,6494,7034,7738,12061,7021,12291,,,,,,12049,8606,11786,8976,18033,9294,12442,6096,4186,-2631,3697,2087,7617,3436,3769,3771,11958,7150,9026,9326,13554,6169,2935,3988,8050,5513,6460,5533,7718,4648,4637,6162,5515,3235,3462,3286,4729,2677,4802,2279,6403,2322,1887,6107,4689,3728,6096,1125,6245,4172,5212,2080,13175,5464,270,-383,3106,4200,5457,6812,10438,16764,21062,8153,11485,5395,12463,7946,9290,2552,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,0.3791,0.2819,0.4359,0.2556,0.5362,0.2288,0.2613,0.1719,0.6188,0.3335,0.4289,0.1154,0.2725,0.1682,0.2791,0.032,0.0584,0.0561,0.2545,0.3015,0.5349,0.5648,0.4846,0.4994,0.9695,0.461,0.4031,0.0387,0.3236,0.189,0.6773,0.2665,0.8541,0.6094,0.3975,0.4932,1.1198,0.8792,1.0235,1.3884,1.6112,0.8365,1.9668,1.0558,1.7965,1.18,1.8396,0.8858,1.9788,1.3559,2.0344,1.2493,3.2901,1.6431,1.8152,1.0359,0.8582,-0.6943,0.6975,0.3658,1.5438,0.7615,1.0394,1.0828,1.9756,1.0349,1.5232,0.4437,2.4271,0.4021,1.1782,0.7002,1.3596,-0.2184,0.9859,0.4086,1.7964,0.3863,0.9838,-0.3469,0.274,0.4007,0.6618,-0.4198,0.0505,0.0594,0.467,0.8403,1.251,0.9012,0.6139,0.6815,1.2108,0.668,1.3823,0.5885,0.7351,-0.0529,0.6542,-0.0825,0.077,-1.0342,0.2571,0.088,1.6067,1.6144,2.1635,3.0491,2.5497,3.8096,4.6712,2.8608,2.6643,0.9897,2.7436,1.8589,2.3987,1.0019,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,14.8805,13.4968,14.9109,16.2343,20.4461,21.0318,22.1041,20.6242,20.4424,29.3929,36.2286,42.2791,48.6304,65.6119,90.6157,94.7641,60.08,34.0026,23.7063,23.6252,20.8607,16.0823,18.0885,16.8883,20.9908,35.7403,42.8769,25.9652,23.9905,17.5898,14.9168,17.2029,17.4159,15.8749,15.3687,13.747,11.6212,12.1577,11.8263,10.9498,10.2683,10.7611,10.2265,11.4273,13.4394,12.8225,13.8415,14.7982,14.1561,10.6662,10.7254,9.7102,10.2551,12.7231,23.1871,36.16,55.5649,35.016,16.9419,16.653,16.5148,17.3131,15.8551,12.9314,17.029,15.9756,17.8415,20.5458,18.3851,24.7548,29.9204,30.4306,39.9086,32.8602,28.1443,26.3062,32.787,65.5198,63.4283,75.1237,85.026,120.5794,266.3972,555.794,63.6931,31.3301,23.3361,22.7319,24.2603,21.8966,26.0635,21.5644,17.7134,23.9479,28.8834,36.6821,55.6487,63.7232,74.3801,,,60.8398,17.6883,10.7481,7.2554,8.8081,7.4007,6.2012,7.9402,7.8296,9.5879,12.6998,12.1093,14.5467,14.3846,14.647
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.3828,2.5009,1.8242,2.6778,1.2277,2.3049,2.5103,2.5,1.9151,1.8882,2.2629,1.9886,2.2042,2.1765,2.336,2.0173,2.0371,2.322,2.3229,1.4474,1.9771,1.8699,2.6293,2.1268,2.1629,1.9,2.0128,1.1872,2.0993,1.8081,2.2462,1.0644,1.6566,1.7463,2.5057,2.1905,2.062,1.7712,1.9378,1.7099,1.5776,1.3166,1.2045,1.1638,1.7458,1.2365,1.6525,1.2649,2.2124,1.5591,2.8216,1.2418,1.2281,1.7624,1.5627,1.0224,1.8636,1.4943,1.6643,1.4618,1.6499,1.1797,1.5894,0.9701,1.7418,1.0903,1.382,0.8646,1.5394,1.1031,1.6007,0.9721,1.9669,1.1488,0.9712,1.3407,1.9582,0.5562,1.8662,1.4056,2.0708,1.2216,1.7792,1.4114,1.5827,1.2068,1.4375,1.1437,2.041,0.6422,1.4046,1.329,1.4307,1.12,1.7066,1.2225,1.6597,1.162,1.5361,1.1286,1.619,2.0983,2.1637,1.5755,2.6586,2.6582,2.0208,4.4024,2.0382,2.0737,1.898,0.8844,1.832,1.9696,1.7801,1.4345,3.5481,1.9,2.864,1.1163,,,,,3.3934,2.0576,1.7913,1.9306,2.6985,1.1184,1.2424,1.382,1.4297,1.1907,1.76,1.7932,1.7839,1.1429,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,24127,23444,26086,31862,27237,24251,24238,27121,24475,24547,27241,26897,24139,24702,24455,24529,22883,24246,26047,26507,26127,27846,27025,26895,27164,27975,29086,32503,31121,29990,28765,34495,25885,25201,24512,75598,33104,37236,43024,83591,47780,49479,52178,56646,50782,49875,45816,40335,37801,44322,47411,56211,54357,50271,52860,55711,59644,62706,67809,73830,72237,79107,88571,88298,78653,87813,88504,80116,76890,87249,91160,103301,104791,124238,122758,73284,56222,65951,73285,80106,80222,82747,85181,93428,101335,112781,111991,107419,110696,104718,102852,101409,96336,95498,100508,98355,93896,97848,95687,76085,59228,65395,59866,52321,42290,50925,51330,56399,56474,56026,59350,65312,65436,71456,74187,68253,61646,67491,63422,63024,55134,32277,45425,45738,57552,65943,71892,81305,87734,111265,106512,93164,83644,80795,88570,81688,80411,89986,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56222,65951,73285,80106,80222,82747,85181,93428,101335,112781,111991,107419,110696,104718,102852,101409,96336,95498,100508,98355,93896,97848,95687,76085,59228,65395,59866,52321,42290,50925,51330,56399,56474,56026,59350,65312,65436,71456,74187,68253,61646,67491,63422,63024,55134,32277,45425,45738,57552,65943,71892,81305,87734,111265,106512,93164,83644,80795,88570,81688,80411,89986,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,15535,14712,16868,21171,16783,15317,15461,17597,15378,16024,17380,17741,16099,16145,15859,15016,14614,15865,16641,16453,16618,17731,16647,16049,17257,17901,18535,21297,20124,19060,18104,21019,16355,15500,15007,41304,20223,23359,28157,52312,39459,40359,42406,37227,31843,32228,37697,24500,23788,28834,32198,39108,35600,31716,34753,35896,38441,41018,45199,47558,58135,64129,72245,69336,61762,68526,69314,63091,59858,68187,73245,83296,83674,101269,97173,59341,46366,56372,61807,68024,67113,68780,71007,77729,83181,93936,93576,91665,93815,89237,85663,85362,81690,82539,86613,84701,80167,85457,82625,66918,52341,57908,52413,48241,39137,46697,46845,54747,49440,50274,52015,59175,57396,63209,63834,59823,55747,60770,56687,56946,53031,31034,43388,69116,52327,58498,61343,69877,79066,87618,83743,73100,66904,68263,73899,70500,67827,76369,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43573,53368,58880,64831,63833,65414,67163,73459,79420,90055,89710,87590,89973,85338,81626,81252,77580,78134,82326,80321,75975,81172,78263,62460,48041,53457,47871,43486,34372,41876,42240,46630,44921,45622,47135,53333,52926,58620,59176,54795,51176,56139,51814,52023,47212,26118,38405,38825,47323,53546,56353,64216,70183,83167,78101,68036,62660,64021,69484,62760,63015,70582,
Gross Profit,GROSS_PROFIT,8592,8732,9218,10691,10454,8934,8777,9524,9097,8523,9861,9156,8040,8557,8596,9513,8269,8381,9406,10054,9509,10115,10378,10846,9907,10074,10551,11206,10997,10930,10661,13476,9530,9701,9505,34294,12881,13877,14867,31279,8321,9120,9772,19419,18939,17647,8119,15835,14013,15488,15213,17103,18757,18555,18107,19815,21203,21688,22610,26272,14102,14978,16326,18962,16891,19287,19190,17025,17032,19062,17915,20005,21117,22969,25585,13943,9856,9579,11478,12082,13109,13967,14174,15699,18154,18845,18415,15754,16881,15481,17189,16047,14646,12959,13895,13654,13729,12391,13062,9167,6887,7487,7453,4080,3153,4228,4485,1652,7034,5752,7335,6137,8040,8247,10353,8430,5899,6721,6735,6078,2103,1243,2037,-23378,5225,7445,10549,11428,8668,23647,22769,20064,16740,12532,14671,11188,12584,13617,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,6270,6851,7255,8251,7176,7212,7157,8073,7326,7229,7825,7373,6319,6893,6842,7348,6546,7016,7569,7945,7363,7762,8003,8522,7582,7792,8218,8088,7758,2299,8060,10591,7355,7950,8007,31522,11706,11857,11720,25363,3087,2996,3593,11777,11533,11538,3514,12445,11300,11930,11377,12240,12056,12635,13084,14276,13581,13489,13939,14892,3624,3722,4013,4007,3748,3733,3764,4209,3664,4141,4005,4549,4144,4727,4226,5049,3799,4009,4382,4566,4200,4014,4207,4406,3961,4273,4492,4338,4123,3858,3962,3774,3563,3722,3636,3932,3449,3665,3488,3665,3024,3201,3291,3508,2948,3091,3063,3480,3167,3489,3391,4137,3371,3633,3491,3736,3408,3473,3409,3612,3136,2894,2904,3724,2970,2683,2623,3138,2690,2936,2696,3280,2698,2746,2993,2947,2666,2755,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,2179,2106,,3244,3338,2753,,2877,2830,3358,,,3215,3196,,3137,3310,2730,,3102,3340,3246,,3242,3332,3372,,3451,3508,3765,3678,3466,3557,3412,3838,3392,3788,3656,,3802,4389,3823,,3448,3519,3887,3881,3514,3607,3707,3855,3627,3681,3764,3911,3601,3486,3468,3322,3118,3268,3150,3341,3132,3169,3169,3128,2713,2831,2967,2990,2593,2646,2736,2824,2505,2556,2632,2956,2747,2993,2892,2848,2770,2827,2753,3048,2579,2409,2444,2736,2428,2345,2287,2514,2409,2530,2324,2832,2390,2449,2489,2591,2495,2568,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,490,495,685,686,407,500,551,334,592,728,427,522,372,494,452,445,454,486,591,317,496,319,537,311,370,324,518,355,445,327,656,662,933,759,1181,624,640,599,888,638,646,656,564,557,485,460,988,542,338,336,624,281,406,372,448,308,297,504,356,171,187,
Operating Income (Loss),IS_OPER_INC,2322,1881,1963,2440,3278,1722,1620,1451,1771,1294,2036,1783,1721,1664,1754,2165,1723,1365,1837,2109,2146,2353,2375,2324,2325,2282,2333,3118,3239,8631,2601,5770,2175,1751,1498,3477,1175,2020,3147,5916,5234,6124,6179,7642,7406,6109,4605,3390,2713,3558,3836,4863,6701,5920,5023,5539,7622,8199,8671,11380,10478,11256,12313,14955,13143,15554,15426,12816,13368,14921,13910,15456,16973,18242,21359,8894,6057,5570,7096,7516,8909,9953,9967,11293,14193,14572,13923,11416,12758,11623,13227,12273,11083,9237,10259,9722,10280,8726,9574,5502,3863,4286,4162,572,205,1137,1422,-1828,3867,2263,3944,2000,4669,4614,6862,4694,2491,3248,3326,2466,-1033,-1651,-867,-27102,2255,4762,7926,8290,5978,20711,20073,16784,14042,9786,11678,8241,9918,10862,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,101,,,,,,,,,-1793,-1947,-2108,-2690,-3159,-2753,-2891,-4034,-4724,-4047,-4757,-5625,-4757,-14568,-4093,-5427,-4955,-3531,-3930,-4994,-4947,-5425,-3836,-3340,-2772,-2668,-1587,-2056,-1525,-1259,-1804,-2445,-2051,-1893,-1639,-1017,-2571,-1898,-2218,-3427,-1798,-1384,-1395,-3948,-775,-11,-495,-489,-1337,-1545,-1680,-3439,-2578,-4222,-5349,-2058,-2761,-1870,-2021,-2384,-2451,-2803,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,28,6,502,94,,157,,,126,108,,77,70,76,,88,51,51,,42,70,41,,,50,459,,,244,73,,,,,,,96,,128,,107,318,118,,,,,,,,,,,,,,,,,,,,-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Interest Expense,IS_INT_EXPENSE,391,321,240,348,248,173,163,226,223,194,231,136,151,190,193,147,301,107,126,239,143,176,192,60,76,136,97,155,76,106,107,132,32,28,6,502,182,128,157,498,174,126,108,181,77,70,76,70,88,51,51,208,42,70,41,54,48,50,459,81,56,244,73,123,165,107,281,101,103,96,73,128,130,107,318,118,107,343,62,36,55,40,54,110,29,45,98,75,107,50,59,111,24,85,52,,66,64,88,68,88,85,78,60,77,75,106,195,146,158,111,186,204,147,200,215,181,216,232,201,249,317,279,313,258,254,214,221,188,194,209,207,159,249,169,272,221,271,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-700,-819,,,-808,,,,,,,,,,,,,,,,-1256,,,,-1556,,,,-1800,-1687,-1778,,-1915,-2015,-2158,,-2809,,,,-1470,-1583,-1675,-2415,-2537,-2244,-2443,-3453,-3827,-3720,-3915,-3827,-4210,-3651,-3386,-3763,-4418,-3098,-3444,-2967,-4108,-3312,-3211,-2692,-2261,-2081,-1783,-1519,-1251,-1124,-1103,-1328,-1710,-1525,-1472,-673,-1910,-1729,-1960,-1756,-1709,-1359,-1196,-1177,-775,-103,-517,-337,-1473,-1436,-1670,-2078,-2538,-3688,-4632,-605,-2381,-1382,-1457,-1165,-1842,-1744,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-430,-707,-495,-311,-677,-549,-502,-691,-926,-372,-940,-1873,-654,-10967,-766,-1775,-561,-518,-538,-1875,-905,-2177,-713,-716,-599,-672,118,-597,-351,-210,-807,-1312,-487,-526,-278,-530,-865,-316,-458,-1886,-270,-241,-431,-2972,-249,-225,-257,-465,-122,-363,-224,-1582,-228,-728,-926,-1660,-539,-737,-733,-1491,-830,-1330,
"Pretax Income (Loss), Adjusted",PRETAX_INC,2261,1979,1914,2298,3522,1834,1645,1684,2028,1323,2016,2167,1935,1822,2101,2444,1762,1475,2037,2763,2585,2760,2575,2823,2980,2732,2619,3969,3646,3253,2862,6352,2775,2280,2081,5192,1686,2691,3544,4408,5338,6816,6770,8412,8432,6955,5365,3929,3343,4298,4560,5506,10251,6848,6063,9498,9116,9622,9733,13546,12998,12958,16226,18049,15641,18457,18470,15885,16314,18116,17044,20005,20474,22431,26693,13799,7850,7517,9204,10206,12068,12706,12858,15327,18917,18619,18680,17041,17515,26191,17320,17700,16038,12768,14189,14716,15227,14151,13410,8842,6635,6954,5749,2628,1730,2396,3226,617,5918,4156,5583,3017,7240,6512,9080,8121,4289,4632,4721,6414,-258,-1640,-372,-26613,3592,6307,9606,11729,8556,24933,25422,18842,16803,11656,13699,10625,12369,13665,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732,7,20,17,470,530,202,372,-184,121,167,145,97,-6,30,300,100,-1700,,,-2230,,,550,,-460,200,-1620,,,,,,,,,,,290,-1450,0,0,215.3846,0,0,0,15,2,1,0,0,0,0,0,-10000,0,-923.0769,0,0,0,0,0,0,0,-413.8462,0,0,0,0,0,0,0,3284.6154,0,0,0,1294,0,0,0,429,0,0,0,-4683.5443,0,0,60.7595,19685.6582,39.2405,15.1899,0,-411.3924,4244.3038,-378.481,-827.8481,-683.5443,0,0,0,2910,0,0,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-923.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1368.3544,,-378.481,-743.038,,,,,-305,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284.6154,,,,1294,,,,429,,,,,,,60.7595,19273,,,,951.8987,3765.8228,,882.2785,670.8861,,,,3040,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4683.5443,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-413.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.6582,,,,,478.481,,-967.0886,-1354.4304,,,,175,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,2261,1979,1914,2298,3522,1834,1645,1684,2028,1323,2016,2167,1935,1822,2101,2444,1762,1475,2037,2763,2585,2760,2575,2823,2980,2732,2619,3969,3646,3253,2862,6352,2775,2280,2081,5192,1686,2691,3544,4408,5338,6816,6770,8412,8432,6955,5365,3929,3343,4298,4560,5506,10251,6848,6063,9498,9116,9622,9733,13546,12998,12958,16226,18049,15641,18457,18470,15885,16314,18116,17044,20005,20474,22431,26693,13799,7850,7517,9204,10206,12068,12706,12858,15327,18917,18619,18680,17041,17515,26191,17320,17700,16038,12768,14189,14716,15227,14151,13410,8842,6635,6954,5749,2628,1730,2396,3226,617,5918,4156,5583,3017,7240,6512,9080,8121,4289,4632,4721,6414,-258,-1640,-372,-26613,3592,6307,9606,11729,8556,24933,25422,18842,16803,11656,13699,10625,12369,13665,
