NVDA US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.566,-5.066,8.443,6.36,208.24,19.405,405.678,-20.608,-46.974,53.777,-282.587,-65.491,-25.849,-60.335,75.719,24.459,-68.198,-4.499,-42.484,-17.391,-17.747,-16.096,-23.892,51.825,72.492,-38.834,149.886,187.448,-63.993,-99.34,353.323,-197.332,134.537,235.794,141.957,-329.733,76.339,-84.165,-257.89,-43.565,94.586,11.511,90.705,-167.269,0.041,-70.259,74.171,214.187,18.272,-151.019,34.202,101.06,-298.741,130.483,25.77,207.398,-171.363,29.898,-29.237,589.503,-643,6,-120,102,-33,-29,36,125,-49,-121,1514,-174,223,-1,815,1199,-3237,-47,3,61,1990,4333,2660,1131,4598,-12220,-1023,-1404,131,4650,-4340,701,1897,-874,-213,589,1690,803,-363,1761,307,984,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834,7.969,3.862,3.3,0.071,0.074,0.088,0.002,34.084,0.074,0.061,-7.79,-6.508,-1.648,0.002,-26.947,-1.045,0.334,0.183,0.317,-1.503,1.245,0.668,0.353,0.901,0.937,2.659,0.709,24.645,,2.581,-0.598,1.916,1.589,0.794,-1.971,1.982,2.477,2.22,0.941,0.919,0.774,0.918,1.606,1.089,0.516,0.917,-3.593,1.404,1.45,1.003,54.471,2.01,-45.159,2.707,1.834,2.286,2.797,3.371,6.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.901,0,0,0,0,71.303,0,0,0,0,,,,,67.026,0,0.011,334.763,,,,75.542,27.948,0,0,0,0,0,0,0,0,0,0,0,0,348.884,0,0,0,0,0,0,0,0,17.145,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,,,,0,0,0,0,0,34,7137,1353,0,0,0,203,60,36,13,0,0,83,0,0,0,39,279,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.877,-5.488,5.23,3.663,3.175,16.458,11.147,200.8,3.937,34.287,-1.782,27.398,27.583,-23.263,83.204,114.385,14.836,-47.457,-32,-13.305,42.887,-45.519,-13.623,81.194,76.075,18.162,158.96,201.938,29.729,-3.109,260.532,154.703,268.862,301.035,330.422,182.132,-56.928,27.443,-66.005,-62.82,121.351,117.461,124.724,46.67,-22.477,-3.3,190.354,413.33,141.005,58.698,205.382,365.336,-38.131,138.942,136.801,403.251,109.983,11.483,124.156,334.338,122,73,177,412,216,139,238,496,264,168,420,670,228,651,1089,941,1327,784,337,695,592,823,1537,1321,754,1350,806,1784,1576,2499,1298,2758,1370,837,-138,1739,2663,6059,7055,11246,14976,13512,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0993,,,,,,,85.8128,,17.6318,-43.7178,-29.1176,,42.9478,-45.4822,-13.603,81.2076,76.0829,18.1638,158.96,201.9888,29.7298,-3.104,260.5503,,,,,,,,,,,,,,,,,,,,,,,,,404.0736,110.7375,12.2041,124.8433,341.2407,131.2454,82.9097,186.1053,422.1579,225.3488,143.3333,248.0251,505.8182,274.3568,177.8801,433.9646,686.2397,243.1343,663.7851,1103.029,955.3049,1341.2334,797.0627,,,,834.8416,1549.1867,1332.2205,777.369,1401.3189,858.5282,1836.5313,1625.5773,2558.4987,1355.9105,2817.8464,1430.9551,901.6492,,,2724.0403,6116.6164,7110.342,11300.8671,15031.118,13564.698,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.364,-5.936,4.554,3.631,2.674,15.987,301.538,200.437,3.707,33.993,3.482,37.446,26.713,-24.351,81.591,118.755,13.422,-48.847,-333.693,-16.856,41.404,-46.869,-14.301,80.69,76.075,18.162,158.104,202.794,29.729,,260.532,154.703,268.862,301.035,330.422,182.132,-56.928,27.443,-66.005,-62.82,121.129,117.58,124.509,46.059,-22.759,-3.592,190.053,413.634,140.653,48,204.925,364.916,-38.646,138.446,136.29,402.724,109.407,10.89,123.545,1664.06,142,73,176,410,215,140,242,499,264,174,1966,442,-377,515,1027,934,1325,784,327,692,592,823,1537,1321,754,1350,806,1784,1576,2499,298,2758,1370,837,-138,1739,2663,4809,7055,11246,14976,13512,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,-0.0004,0.0004,0.0002,0.0002,0.0011,0.0007,0.0128,0.0002,0.002,-0.0001,0.0015,0.0015,-0.0013,0.0045,0.006,0.0008,-0.0025,-0.0017,-0.0007,0.0022,-0.0023,-0.0007,0.0041,0.0019,0.0004,0.0078,0.0098,0.0014,-0.0001,0.0082,0.0072,0.0124,0.0138,0.0149,0.0082,-0.0026,0.0012,-0.003,-0.0029,0.0056,0.0054,0.0057,0.0021,-0.001,-0.0001,0.0082,0.0177,0.0059,0.0024,0.0085,0.0149,-0.0015,0.0056,0.0055,0.0163,0.0045,0.0005,0.0053,0.0147,0.0055,0.0033,0.0081,0.0189,0.0098,0.0064,0.011,0.023,0.0123,0.0079,0.0195,0.0303,0.0096,0.0273,0.0451,0.0388,0.0547,0.0323,0.0138,0.0285,0.0244,0.0338,0.063,0.054,0.0307,0.0548,0.0326,0.0721,0.0634,0.1002,0.0519,0.1101,0.0547,0.0335,-0.0056,0.0706,0.1078,0.245,0.2859,0.456,0.6083,0.5498,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.3558,409.7677,140.843,153.5933,9.2574,18.3081,24.5714,15.3417,150.8802,74.174,84.3662,11.2872,8.8669,10.6573,21.5148,49.2239,73.2039,,,,60.25,66.5676,39.0371,20.1547,15.2697,24.4739,18.7732,25.5219,37,17.3379,16.5646,18.7808,17.2772,14.4465,21.5357,70.2347,52.5941,282.1313,56.3325,27.4252,24.953,35.8609,38.5911,31.7408,15.5122,14.5417,11.6074,9.0558,10.9091,15.8463,12.5823,13.6142,11.8732,10.0802,13.1467,14.6533,16.0236,17.2256,16.1086,14.6407,14.0267,13.0405,11.6194,13.3471,16.4004,16.9032,21.708,27.3302,38.1423,40.4646,41.686,39.7874,40.026,34.8833,34.6338,50.2941,25.7924,45.3266,40.8404,29.0719,33.591,36.3207,46.9156,78.6397,68.6577,59.8867,74.5406,72.0108,90.2811,86.0773,60.5632,62.961,95.3702,134.5919,101.2401,61.3305,45.2371,56.6427,65.0229,63.9176
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5367,-0.4868,0.9904,0.3635,0.5811,1.0686,0.6299,7.2836,1.3388,1.765,0.4711,0.6254,0.5859,0.1271,,2.4408,2.0473,0.779,-1.3554,-0.0393,2.88,-5.6439,0.0168,2.0657,1.3672,0.6413,3.3379,2.3146,0.5558,0.196,2.7163,1.3208,2.232,1.8623,1.701,0.9824,0.8215,,0.6964,,,,1.3136,0.5283,-0.0392,,2.5003,2.5323,1.2735,0.5411,1.371,3.5382,-0.1524,1.6875,0.868,2.5924,2.2551,1.0002,1.367,2.7275,1.1022,0.75,1.2486,2.2953,1.8358,6.2692,1.0366,2.4686,1.5337,0.7663,0.845,1.1008,0.5562,1.2093,1.3819,1.2138,1.1616,0.8292,0.3959,1.5838,1.8274,1.6957,1.8242,1.5421,0.9913,2.5193,0.9573,1.4187,0.9801,1.1297,0.6165,1.0097,1.0698,1.936,0.5765,1.5898,1.4249,1.0259,0.7934,0.936,1.0312,0.8729,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.537,71.018,78.017,97.015,128.455,148.483,170.398,198.165,218.218,240.932,259.875,364.976,503.688,582.905,427.285,430.304,468.953,404.983,459.774,486.069,472.119,471.905,456.061,515.591,566.476,583.846,574.812,583.415,633.614,681.807,687.519,820.572,878.873,844.28,935.253,1115.597,1202.73,1153.388,892.676,897.655,481.14,664.231,776.52,903.206,982.488,1001.813,811.208,843.912,886.376,962.039,1016.517,1066.18,953.194,924.877,1044.27,1204.11,1106.902,954.739,977.238,1053.967,1144.218,1103,1103,1225,1251,1151,1153,1305,1401,1305,1428,2004,2173,1937,2230,2636,2911,3207,3123,3181,2205,2220,2579,3014,3105,3080,3866,4726,5003,5661,6507,7103,7643,8288,6704,5931,6051,7192,13507,18120,22103,26044,30040,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.388,892.676,897.655,481.14,664.231,776.52,903.206,982.488,1001.813,811.208,843.912,886.376,962.039,1016.517,1066.18,953.194,924.877,1044.27,1204.11,1106.902,954.739,977.238,1053.967,1144.218,1103,1103,1225,1251,1151,1153,1305,1401,1305,1428,2004,2173,1937,2230,2636,2911,3207,3123,3181,2205,2220,2579,3014,3105,3080,3866,4726,5003,5661,6507,7103,7643,8288,6704,5931,6051,7192,13507,18120,22103,26044,30040,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.346,45.946,49.625,60.195,79.809,92.975,106.631,124.643,138.136,146.712,157.636,231.508,314.377,375.74,327.983,322.106,301.442,278.415,329.8,351.938,333.914,323.069,315.968,348.849,372.661,373.985,357.437,355.42,378.812,393.05,395.391,486.63,493.167,464.142,511.261,600.044,653.133,638.545,742.759,529.812,339.474,474.535,619.797,511.423,543.767,545.436,676.916,451.85,460.017,477.536,491.233,509.463,463.181,461.513,503.551,567.452,521.3,436.171,431.7,469.552,524.976,499,484,549,552,498,519,571,610,554,602,821,870,787,928,1067,1110,1139,1148,1260,998,924,1038,1098,1090,1076,1591,1766,1846,2032,2292,2472,2644,2857,3789,2754,2218,2544,4045,4720,5312,5638,7466,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.545,742.759,529.812,339.474,474.535,619.797,511.423,543.767,545.436,676.916,451.85,460.017,477.536,491.233,509.463,463.181,461.513,503.551,567.452,521.3,436.171,431.7,469.552,524.976,499,484,549,552,498,519,571,610,554,602,821,870,787,928,1067,1110,1139,1148,1260,998,924,1038,1098,1090,1076,1591,1766,1846,2032,2292,2472,2644,2857,3789,2754,2218,2544,4045,4720,5312,5638,7466,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.191,25.072,28.392,36.82,48.646,55.508,63.767,73.522,80.082,94.22,102.239,133.468,189.311,207.165,99.302,108.198,167.511,126.568,129.974,134.131,138.205,148.836,140.093,166.742,193.815,209.861,217.375,227.995,254.802,288.757,292.128,333.942,385.706,380.138,423.992,515.553,549.597,514.843,149.917,367.843,141.666,189.696,156.723,391.783,438.721,456.377,134.292,392.062,426.359,484.503,525.284,556.717,490.013,463.364,540.719,636.658,585.602,518.568,545.538,584.415,619.242,604,619,676,699,653,634,734,791,751,826,1183,1303,1150,1302,1569,1801,2068,1975,1921,1207,1296,1541,1916,2015,2004,2275,2960,3157,3629,4215,4631,4999,5431,2915,3177,3833,4648,9462,13400,16791,20406,22574,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.775,16.069,18.929,21.713,27.807,29.944,34.744,36.875,43.181,52.09,57.408,72.442,81.849,89.974,93.137,158.304,96.775,100.22,105.342,115.27,114.389,124.956,136.294,137.984,136.659,131.052,139.782,144.265,144.112,188.072,196.312,216.329,247.192,238.892,239.232,267.712,287.098,311.864,305.309,311.047,316.749,420.661,266.83,283.938,304.439,308.984,309.499,288.279,246.581,329.641,351.254,359.627,367.696,390.538,401.096,384.441,402.029,435.787,440.004,443.427,452.318,453,456,463,468,477,558,489,539,506,509,544,570,596,614,674,728,773,818,863,913,938,970,989,1025,1028,1624,1562,1650,1673,1771,1960,2029,3563,2416,2576,2576,2508,2662,2983,3176,3497,3932,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.436,,,69.055,,84.916,80.571,81.28,88.183,91.263,93.034,92.399,90.349,86.44,118.864,73.975,85.99,88.188,90.879,98.864,83.752,88.018,98.117,103.533,103.129,100.834,106.636,119.903,100.261,104.022,108.626,108.266,103.133,115.677,119,119,123,120,138,149,152,161,159,157,171,176,185,198,212,220,231,237,258,266,264,266,277,287,293,627,515,503,520,526,557,563,592,592,631,625,633,622,689,711,777,842,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.83,212.91,212.36,211.779,211.341,192.855,197.948,216.251,218.105,210.635,204.527,215.563,231.524,247.721,256.498,266.862,283.902,281.193,284.18,298.007,327.161,331.738,340.294,336.641,334,337,340,348,339,320,329,344,346,350,373,394,411,416,462,508,542,581,605,647,674,704,712,738,735,994,1047,1147,1152,1244,1403,1466,1618,1824,1945,1951,1875,2040,2282,2465,2720,3090,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8.338,18.53,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,8,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.416,9.003,9.463,15.107,20.839,25.564,29.023,36.647,36.901,42.13,44.831,61.026,107.462,117.191,6.165,-50.106,70.736,26.348,24.632,18.861,23.816,23.88,3.799,28.758,57.156,78.809,77.593,83.73,110.69,100.685,95.816,117.613,138.514,141.246,184.76,247.841,262.499,202.979,-155.392,56.796,-175.083,-230.965,-110.107,107.845,134.282,147.393,-175.207,103.783,179.778,154.862,174.03,197.09,122.317,72.826,139.623,252.217,183.573,82.781,105.534,140.988,166.924,151,163,213,231,176,76,245,252,245,317,639,733,554,688,895,1073,1295,1157,1058,294,358,571,927,990,976,651,1398,1507,1956,2444,2671,2970,1868,499,601,1257,2140,6800,10417,13615,16909,18642,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.381,,,,,,,,,-10.039,-8.792,-4.207,-4.708,-6.144,-3.006,-2.362,-5.139,-3.332,-6.16,0.198,-6.128,-1.623,-3.517,-7.697,-2.26,-4.269,-5.585,-1.411,-2.535,-5.281,-6.286,-0.496,-1.964,-12,8,4,3,4,4,0,-1,4,0,18,7,18,4,-1,-5,-16,-23,-23,-30,-31,-35,-32,-26,-5,42,50,37,-88,50,33,105,63,24,-12,-32,-69,-181,-105,-491,-370,-572,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.342,,,,-1.328,-4.098,-4.63,-6.623,,,,,,,,,,,,,,,,,,-4.865,-5.38,-10.381,-8.807,-8.812,-10.63,,,,,,,,,,,,,,,,,,,,,,,,,-3.813,-4.223,-3.029,-3.203,3.779,5,5,4,4,3,3,3,1,0,0,2,1,0,0,-2,-5,-10,-18,-22,-28,-31,-34,-32,-29,-6,41,46,47,47,54,55,52,50,19,-23,-50,-84,-122,-171,-231,-295,-383,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.852,,,,,,,4.196,,3.994,4.128,3.794,,0.076,0.046,0.025,0.017,0.01,0.002,0,0.06,0.001,0.006,0.022,,,,,,,,,,,,,,,,,,,,,,,,,0.88,0.853,0.836,0.819,7.935,11,12,11,12,12,12,12,12,12,12,16,18,16,15,15,15,15,14,15,14,13,13,13,12,25,54,53,53,53,60,62,61,68,65,65,65,66,65,63,63,64,61,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369,-0.43,,,,,21.531,,,,,,,,,,5.725,4.6,,2.9,2.7,2.6,3.2,3.895,4.867,5.38,6.556,8.808,8.818,10.652,13.045,13.208,15.625,17.416,17.403,14.323,12.081,9.447,7.008,6.124,5.779,5.444,5.768,5.571,4.805,4.22,4.461,5.313,5.266,4.356,4.213,5.198,5.316,4.701,4.693,5.076,3.865,4.022,4.156,6,7,7,8,9,9,9,11,12,12,14,17,16,15,17,20,25,32,37,42,44,47,45,41,31,13,7,6,6,6,7,9,18,46,88,115,150,187,234,294,359,444,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.284,3.289,5.24,2.3,-0.02,2.773,3.082,0.629,2.239,-1.355,4.418,-1.667,3.69,1.749,-3.341,1.953,0.929,-0.269,3.29,1.278,-1.058,-3.257,2.707,-5.743,-17,3,0,-1,1,1,-3,-2,4,0,16,6,18,4,1,0,-6,-5,-1,-2,0,-1,0,3,1,1,4,-10,-135,-4,-22,53,13,5,11,18,15,-59,66,-260,-75,-189,
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.327,9.345,9.832,15.537,21.452,26.892,33.121,41.277,43.518,38.072,47.037,59.021,108.619,118.922,7.505,-48.636,72.766,28.21,26.661,5.553,26.249,26.687,6.399,32.349,60.01,83.182,82.812,75.718,115.016,109.248,104.522,128.327,151.559,153.789,200.851,266.799,279.902,213.018,-146.6,61.003,-170.375,-224.821,-107.101,110.207,139.421,150.725,-169.047,103.585,185.906,156.485,177.547,204.787,124.577,77.095,145.208,253.628,186.108,88.062,111.82,141.484,168.888,163,155,209,228,172,72,245,253,241,317,621,726,536,684,896,1078,1311,1180,1081,324,389,606,959,1016,981,609,1348,1470,2044,2394,2638,2865,1805,475,613,1289,2209,6981,10522,14106,17279,19214,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.948,4.784,3.687,3.69,,,61.832,,,,16.568,,,,,,,,14.158,,23.049,0,17.5,13.4,0,0,0,4,-1.3,196.054,20.738,11.63,139.441,118.854,-25.605,-0.3,-0.3,193.198,-0.3,-57.2,1.155,7.262,6.313,12.452,5.071,4.594,4.566,4.273,4.846,5.674,1.806,-8.161,-17.3,3,0,0.2,13,128,19,55,14,2,15,5,18,7,5,3,-6,-2,10,30,21,7,7,10,11,740,221,156,125,249,202,295,1377,128,147,358,187,75,230,-119,71,-52,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.241,,,,,,,,,,,,,,,,,,,,,,,,,11,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,-57,,,,7.3,,,,,,2.29,,1.45,,,,,16,24,15,15,16,,,,,,,1,2,,15,28,11,2,,3,,17,21,1,5,4,,,7,,,16,,,26,4,,,
